source_date,original_source,vessel_name,imo,ircs,mmsi,national_registry,vessel_flag_alpha3,sprfmo_vessel_id,vessel_type,gear_type_fao,length_metric_type,length_value,length_unit,gross_tonnage_value,gross_tonnage_unit,gross_register_tonnage_value,gross_register_tonnage_unit,moulded_depth_value,moulded_depth_unit,beam_value,beam_unit,engine_power_value,engine_power_unit,fish_hold_volume_value,fish_hold_volume_unit,build_year,build_location,build_country_id,authorization_status,auth_start_date,auth_end_date,flag_registered_date,authorizing_country_id,participant_group,previous_names,previous_flag,port_registry
2025-08-26,SPRFMO,BIOMAR III,7311745.0,CB4529,,2692,CHL,,TT,03.19,length_loa,41.71,METER,623.0,,,,4.35,METER,9.5,METER,1453.92,KW,374.21,CUBIC_METER,,NOR,NOR,UNAUTHORIZED,2007-05-23,2016-05-11,2007-05-23,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BIOMAR IV,7525188.0,CB5301,,2846,CHL,,SP,02.9,length_loa,50.78,METER,1037.0,,,,7.35,METER,11.0,METER,1491.2,KW,556.05,CUBIC_METER,,DEU,DEU,AUTHORIZED,2007-05-23,2999-12-31,2007-05-23,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BIOMAR V,7525190.0,CB5302,,2847,CHL,,SP,02.9,length_loa,47.23,METER,1037.0,,,,4.85,METER,11.0,METER,1491.2,KW,556.05,CUBIC_METER,,DEU,DEU,UNAUTHORIZED,2007-05-23,2014-12-02,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BLANQUILLO,8803343.0,CB4235,,2623,CHL,,SP,02.9,length_loa,39.51,METER,500.15,,,,5.1,METER,10.1,METER,1051.3,KW,490.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-20,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BODANES,5415092.0,CB4277,,2669,CHL,,SP,02.9,length_loa,39.36,METER,437.0,,,,4.0,METER,7.5,METER,894.72,KW,602.49,CUBIC_METER,,DNK,DNK,UNAUTHORIZED,2007-10-03,2013-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BONN,7715496.0,CB5330,,2827,CHL,,SP,02.9,length_loa,48.67,METER,945.0,,,,4.6,METER,11.0,METER,1789.44,KW,567.08,CUBIC_METER,,DEU,DEU,AUTHORIZED,2007-06-14,2999-12-31,2007-06-14,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BRONCO,9124445.0,CB5554,,2856,CHL,,SP,02.9,length_loa,51.36,METER,886.0,,,,5.6,METER,10.0,METER,1789.44,KW,1148.59,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2013-01-01,2022-12-17,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BUCANERO I,9148489.0,CB5903,,2920,CHL,,SP,02.9,length_loa,63.65,METER,1533.0,,,,6.6,METER,12.0,METER,3519.23,KW,1800.6,CUBIC_METER,,CHL,CHL,AUTHORIZED,2014-01-09,2999-12-31,2014-01-09,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CABO DE HORNOS,7404372.0,CB7960,,3102,CHL,,TT,03.19,length_loa,71.95,METER,2140.0,,,,5.75,METER,13.5,METER,1911.72,KW,1401.0,CUBIC_METER,,ESP,ESP,AUTHORIZED,2015-12-05,2999-12-31,2015-11-19,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CACIQUE I,8966080.0,CB5402,,2938,CHL,,SP,02.9,length_loa,45.69,METER,796.0,,,,6.65,METER,10.04,METER,1834.18,KW,999.71,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-05-02,2013-12-31,,CHL,,Adriatico,,Valparaíso
2025-08-26,SPRFMO,CAMINA,8699388.0,CB2913,,2399,CHL,,SP,02.9,length_loa,33.03,METER,301.0,,,,4.21,METER,8.32,METER,633.76,KW,330.43,CUBIC_METER,,PER,PER,AUTHORIZED,2018-01-20,2999-12-31,2018-01-03,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CARMEN,,CB2262,,2187,CHL,,SP,02.9,length_loa,35.6,METER,,,284.37,,4.23,METER,8.1,METER,633.76,KW,370.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-08-08,2007-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CAROLINA III,9052563.0,CB5222,,2791,CHL,,SP,02.9,length_loa,42.28,METER,728.0,,,,6.6,METER,10.2,METER,1622.43,KW,850.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-12-19,2999-12-31,2007-12-19,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CAZADOR,9151046.0,CB8503,,3141,CHL,,SP,02.9,length_loa,66.0,METER,1910.0,,,,8.2,METER,12.6,METER,3699.67,KW,1800.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-06-14,2999-12-31,2007-06-14,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CHIVILINGO I,9073206.0,CB5129,,2805,CHL,,SP,02.9,length_loa,47.05,METER,762.0,,,,5.6,METER,10.0,METER,1764.84,KW,909.49,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-10-03,2022-11-22,2007-10-03,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CHOMAPI MARU,6415520.0,CB3543,,2489,CHL,,LL,09.39,length_loa,41.04,METER,464.9,,,,4.5,METER,8.4,METER,935.73,KW,350.0,CUBIC_METER,,ESP,ESP,UNAUTHORIZED,2007-06-28,2013-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CHRISTINAS,,CB4204,,1787,CHL,,LL,09.39,length_loa,16.56,METER,,,48.22,,3.15,METER,6.6,METER,260.96,KW,46.0,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2015-11-09,2016-10-10,2007-08-30,CHL,,,,Coquimbo
2025-08-26,SPRFMO,CISNE BLANCO,7387392.0,CB4108,,2615,CHL,,LL,09.39,length_loa,45.55,METER,536.85,,,,5.14,METER,8.5,METER,894.72,KW,570.8,CUBIC_METER,,ESP,ESP,AUTHORIZED,2007-07-28,2999-12-31,2007-07-28,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CISNE VERDE,7387366.0,CB4109,,2616,CHL,,LL,09.39,length_loa,45.2,METER,531.38,,,,5.31,METER,8.5,METER,894.72,KW,556.0,CUBIC_METER,,ESP,ESP,UNAUTHORIZED,2007-09-27,2016-10-10,2007-09-27,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CLAUDIA ALEJANDRA,8700735.0,CB3699,,2555,CHL,,SP,02.9,length_loa,39.45,METER,491.0,,,,4.55,METER,9.3,METER,1274.98,KW,527.19,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-28,2999-12-31,2007-07-28,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COBRA,9160695.0,CB6027,,2922,CHL,,SP,02.9,length_loa,58.7,METER,1315.0,,,,7.35,METER,12.0,METER,2676.7,KW,1489.37,CUBIC_METER,,CHL,CHL,AUTHORIZED,2013-01-01,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COCHA,,CB3495,,1826,CHL,,TT,03.19,length_loa,22.09,METER,,,86.0,,3.14,METER,6.6,METER,260.96,KW,138.18,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-07-28,2016-10-10,2007-07-28,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COLCHANE,8915500.0,CB4405,,2707,CHL,,SP,02.9,length_loa,42.7,METER,545.11,,,,5.0,METER,10.0,METER,1799.88,KW,536.26,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-08-08,2022-11-10,2007-08-08,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COLLEN,7113818.0,CB2685,,2258,CHL,,SP,02.9,length_loa,33.53,METER,,,315.63,,3.45,METER,8.0,METER,,KW,300.88,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-10-03,2022-12-01,2007-10-03,CHL,,Huanuco 5,PER,Valparaíso
2025-08-26,SPRFMO,CORAL I,9044982.0,CB4941,,2774,CHL,,SP,02.9,length_loa,45.54,METER,781.0,,,,6.65,METER,10.2,METER,1962.42,KW,1002.5,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-09-20,2999-12-31,2007-09-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CORAY I,,CB3430,,1917,CHL,,SP,02.9,length_loa,21.95,METER,,,81.92,,2.59,METER,6.63,METER,316.88,KW,138.25,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-08-08,2011-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CORMORAN,,CB2157,,2270,CHL,,SP,02.9,length_loa,32.77,METER,243.61,,,,3.84,METER,7.92,METER,633.76,KW,350.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-07-31,2016-10-10,2007-07-31,CHL,,Pasco VII,PER,Valparaíso
2025-08-26,SPRFMO,CORPESCA I,9173628.0,CB6707,,3010,CHL,,SP,02.9,length_loa,29.97,METER,333.0,,,,4.29,METER,8.94,METER,1304.0,KW,419.39,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-20,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CORSARIO I,9148477.0,CB5902,,2910,CHL,,SP,02.9,length_loa,63.65,METER,1533.0,,,,6.6,METER,12.0,METER,3519.23,KW,1849.88,CUBIC_METER,,CHL,CHL,AUTHORIZED,2014-01-09,2999-12-31,2014-01-09,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COSTA GRANDE 1,9007740.0,CB4359,,2688,CHL,,SP,02.9,length_loa,31.9,METER,348.0,,,,4.5,METER,9.6,METER,954.37,KW,420.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-28,2999-12-31,2007-07-28,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COSTA GRANDE 2,7042784.0,CB3136,,2272,CHL,,SP,02.9,length_loa,33.5,METER,,,241.37,,3.45,METER,8.03,METER,633.76,KW,373.88,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-10-03,2022-12-01,2007-10-03,CHL,,Arequipa 8,PER,Valparaíso
2025-08-26,SPRFMO,COSTA GRANDE 3,,CB2633,,2505,CHL,,SP,02.9,length_loa,28.9,METER,232.43,,,,3.96,METER,8.8,METER,708.32,KW,303.02,CUBIC_METER,,NOR,NOR,UNAUTHORIZED,2007-09-26,2016-10-10,2007-09-26,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COSTA GRANDE 4,,CB3039,,2506,CHL,,SP,02.9,length_loa,28.9,METER,232.43,,,,3.96,METER,8.8,METER,708.32,KW,303.02,CUBIC_METER,,NOR,NOR,UNAUTHORIZED,2007-09-26,2016-10-10,2007-09-26,CHL,,,,Valparaíso
2025-08-26,SPRFMO,COTE SAINT JACQUES,7214519.0,CB5117,,2787,CHL,,TT,03.19,length_loa,43.56,METER,606.0,,,,7.0,METER,10.0,METER,1118.4,KW,380.0,CUBIC_METER,,FRA,FRA,UNAUTHORIZED,2007-06-28,2014-11-25,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CRISTOBAL COLON,6520612.0,CB3408,,1942,CHL,,TT,03.19,length_loa,28.35,METER,,,166.46,,4.0,METER,7.0,METER,700.86,KW,174.29,CUBIC_METER,,ESP,ESP,UNAUTHORIZED,2007-08-30,2013-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,CULLINTO,6612233.0,CB3090,,2449,CHL,,SP,02.9,length_loa,44.0,METER,543.03,,,,6.45,METER,8.6,METER,1304.8,KW,834.0,CUBIC_METER,,NOR,NOR,UNAUTHORIZED,2012-01-01,2014-10-10,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DIEGO RAMIREZ,7336460.0,CB9258,,3146,CHL,,TT,03.19,length_loa,72.84,METER,1758.0,,,,7.5,METER,12.0,METER,1864.0,KW,1394.5,CUBIC_METER,,ESP,ESP,UNAUTHORIZED,2015-12-05,2021-08-06,2015-11-19,CHL,,,NAM,Valparaíso
2025-08-26,SPRFMO,DON ANTONIO,8965804.0,CB2312,,2388,CHL,,SP,02.9,length_loa,31.34,METER,267.57,,,,4.5,METER,8.6,METER,874.59,KW,400.0,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-08-08,2022-12-01,2007-08-08,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON BORIS,9145504.0,CB5968,,2902,CHL,,SP,02.9,length_loa,55.42,METER,1174.0,,,,5.44,METER,11.8,METER,2457.5,KW,1447.82,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-09-20,2999-12-31,2007-09-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON EDMUNDO,8965933.0,CB3384,,2117,CHL,,SP,02.9,length_loa,30.05,METER,,,194.06,,3.68,METER,7.65,METER,633.76,KW,261.72,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-08-08,2022-12-27,2007-08-08,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON EDMUNDO,9160918.0,CB5797,,2930,CHL,,SP,02.9,length_loa,60.43,METER,1446.0,,,,8.0,METER,12.0,METER,4059.05,KW,1538.39,CUBIC_METER,,CHL,CHL,AUTHORIZED,2013-01-01,2999-12-31,2007-07-19,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON ENRIQUE,8965816.0,CB3470,,2503,CHL,,TT,03.19,length_loa,31.8,METER,254.79,,,,4.75,METER,8.6,METER,857.44,KW,475.86,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2012-01-01,2015-12-31,2007-07-28,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON ERNESTO AYALA MARFIL,8616166.0,CB3482,,2481,CHL,,SP,02.9,length_loa,34.71,METER,324.21,,,,4.53,METER,8.85,METER,894.72,KW,463.73,CUBIC_METER,,PER,PER,AUTHORIZED,2007-07-20,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON GINO,9145487.0,CB5976,,2897,CHL,,SP,02.9,length_loa,31.19,METER,332.0,,,,4.3,METER,8.94,METER,1051.3,KW,457.55,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-20,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON JULIO,9114335.0,CBDJ,,2870,CHL,,SP,02.9,length_loa,58.94,METER,1397.0,,,,8.0,METER,12.0,METER,3279.15,KW,1610.03,CUBIC_METER,,CHL,CHL,AUTHORIZED,2012-01-01,2999-12-31,2007-06-14,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON MANUEL,9141560.0,CB5989,,2900,CHL,,SP,02.9,length_loa,58.7,METER,1315.0,,,,7.35,METER,12.0,METER,2680.43,KW,1397.4,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-09-20,2999-12-31,2007-09-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON MAURO,9048249.0,CB5220,,2792,CHL,,SP,02.9,length_loa,46.0,METER,799.8,,,,6.4,METER,10.4,METER,1600.06,KW,1066.0,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-06-20,2013-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON NORDLUND,,CB3664,,2548,CHL,,SP,02.9,length_loa,40.22,METER,464.7,,,,6.8,METER,8.6,METER,1118.4,KW,579.88,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-08-10,2011-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON PETER,,CB3240,,1987,CHL,,SP,02.9,length_loa,21.95,METER,,,81.92,,2.59,METER,6.63,METER,316.88,KW,138.25,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2015-11-09,2022-01-21,2007-08-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON ROBERTO I,,CB5092,,2785,CHL,,SP,02.9,length_loa,50.73,METER,910.0,,,,6.0,METER,10.4,METER,1849.09,KW,1248.1,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-07-19,2012-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON TELESFORO,9031337.0,CB4744,,2742,CHL,,SP,02.9,length_loa,49.58,METER,822.0,,,,5.4,METER,10.0,METER,1595.58,KW,998.24,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2012-01-01,2022-12-01,2007-06-14,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DON TITO,9105827.0,CB5527,,2854,CHL,,SP,02.9,length_loa,47.86,METER,800.0,,,,6.23,METER,10.4,METER,2004.92,KW,998.56,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-09-20,2999-12-31,2007-09-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,DONA ESTELA,,CB3004,,2908,CHL,,SP,02.9,length_loa,46.33,METER,537.02,,,,6.81,METER,9.32,METER,1184.01,KW,620.0,CUBIC_METER,,USA,USA,UNAUTHORIZED,2007-09-20,2012-12-31,,CHL,,Loa 10,,Valparaíso
2025-08-26,SPRFMO,DUQUECO,9083809.0,CB5274,,2819,CHL,,SP,02.9,length_loa,51.5,METER,886.0,,,,5.6,METER,10.0,METER,1849.83,KW,1198.97,CUBIC_METER,,CHL,CHL,AUTHORIZED,2014-01-09,2999-12-31,2014-01-09,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ELENAS,,CB4203,,1788,CHL,,LL,09.39,length_loa,16.56,METER,,,48.22,,3.15,METER,6.6,METER,260.96,KW,46.0,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-08-30,2016-10-10,2007-08-30,CHL,,,,Coquimbo
