IATTC Vessel number,Register Status,Vessel,Flag,Gear,Fish hold volume (m3),Confirmation date,Carrying capacity (t),Port of registration,Registration number,IMO number,Call sign,Length (m),Length type,Beam (m),Depth (m),Gross tonnage (t),Engine power (HP),Year built,Shipyard,Company name,Business Address,Previous name,Previous flag,Notes,Image available?,Last modification
14735,,Bastion,Canada,Troll,41,,15,Nanaimo,23890,,VD5501,15.24,Length Overall,3.99,2.23,23,185,1976,,"Happach Marine, Ltd.","P.O. Box 584, Qualicum Beach, BC V9K 1T1, Canada",,,   ,Yes,12 May 2014
17222,,BC Summers,Canada,Troll,9,,,Nanaimo,29349,,,10.91,Length Registered,3.75,1.43,15,310,1988,,Coastal Warrior Fishing,"2815 Cosgrove, Nanaimo, BC V9S 3P5, Canada",,,   ,Yes,03 Oct 2018
14733,,BC Sun,Canada,Troll,78,,18,Vancouver,24732,8558558,,13.99,Length Overall,4.57,2.01,28,300,1972,,,"735 Kaplar Road, Qualicum Beach, BC V9K 2J8, Canada",,,   ,Yes,06 Jan 2020
14737,,Becky Jo,Canada,Troll,10,,14,Nanaimo,25406,,,12.32,Length Overall,3.35,1.13,29,200,1970,,"H R Morris Construction, Ltd.","454 Church Road, Parksville, BC V9P 2B2, Canada",,,   ,Yes,15 Jul 2013
15615,,Beroy,Canada,Troll,13,,,Port Alberni,27640,8545290,CFN5570,13.97,Type of Length Unknown,3.66,1.49,11,175,1977,,S.K. Seafoods Incorporated,"8758 Stirling Arm Drive, Port Alberni, BC V9Y 9E2, Canada",,,   ,Yes,01 Dec 2020
12378,,Bold Contender,Canada,Troll,166,,166,Nanaimo,21219,8565654,CFN4731,21.45,Length Overall,5.49,1.92,42,375,1974,,"Masada Holdings, Ltd.","77 Barlow Road, Campbell River, BC V9W 1T1, Canada",,,   ,Yes,01 Dec 2020
12386,,Bold Performance,Canada,Troll,325,,,Gibsons,20702,7902207,CFL5046,25,Length Overall,,,232,520,,,Worldwide Seafood Incorporated,"2115 Commissioner Street, Vancouver, BC V5L 1A6, Canada",,,   ,No,06 Jan 2020
15292,,Bold Venture,Canada,Troll,,,12,Victoria,20874,,,14.28,Type of Length Unknown,4.42,1.8,20,,1980,,"Elma-K Enterprise, Ltd.","137 Government Street, Victoria, BC V8V 2K6, Canada",,,   ,Yes,01 Dec 2020
17223,,Caligus,Canada,Troll,,,10,Ottawa,310641,8562913,cfin,19.3,Length Registered,4.8,1.5,41,230,1968,,,"2630 Palmer Road, Qualicum Beach, BC V9K 1X1, Canada",,,   ,Yes,01 Dec 2020
14738,,Canadian Shore,Canada,Troll,125,,,Vancouver,29503,8744925,CFN5434,23.32,Length Overall,6.55,2.76,90,650,1989,,"0863091 B.C., Ltd.","5000 Calder Court, Richmond, BC V7C 5P1, Canada",,,   ,Yes,06 Jan 2020
14739,,Canoe Pass Co-op #1,Canada,Troll,31,,5,New Westminster,311119,,,12.32,Length Overall,3.63,1.37,11,165,1958,,,"5610 Norasea Road, Nanaimo, BC V9V 1G4, Canada",,,   ,Yes,15 Jul 2013
14741,,C-Fin,Canada,Troll,10,,5,Squirrel Cove,27680,,,11.58,Length Overall,3.41,1.25,8,180,1983,,"C-Fin Fishing, Ltd.","Box 313, Whaletown, BC V0P 1Z0, Canada",,,   ,Yes,15 Jul 2013
17783,,Challenger,Canada,Troll,44,,,Vancouver,21827,,,21.34,Length Overall,6.1,2.04,82,425,1945,Sagstad,,"402 Pioneer Cres, Parksville, B.C. V9P 1V3, Canada",,,   ,Yes,10 Jul 2019
14743,,Cold Fish,Canada,Troll,11,,11,Sooke,23103,,CZ8158,12.19,Length Overall,3.9,2.1,24,165,1978,,"Highball Fishing Company, Ltd.","1977 Caldwell Road, Sooke, BC V9Z 0P6, Canada",,,   ,Yes,12 May 2014
18584,,Concord 101,Canada,Troll,168,,,Vancouver,22742,,,13.66,Length Overall,4.57,1.71,28,300,1979,,Dark Orse Fishing Ltd.,"992 Reed Road, Gibsons, BC V0N 1V7, Canada",,,   ,Yes,04 Jul 2022
14744,,Confident,Canada,Troll,111,,14,Vancouver,25870,,,15.84,Length Overall,5,2,28,345,1978,,"Moon Dancer Fishing Company, Ltd.","2425 Edwards Road, Nanoose Bay, BC V9P 9A5, Canada",,,   ,Yes,15 Jul 2013
15294,,Constellation,Canada,Troll,,,11,Nanaimo,24074,,,15.24,Type of Length Unknown,4.5,1.86,,,,,"B & D Fishing, Ltd.","550 Cove Place, Campbell River, BC V9W 7Z6, Canada",,,   ,Yes,15 Jul 2013
15610,,Contessa,Canada,Troll,,,,,25181,,,,Type of Length Unknown,,,,,,,,"5991 Old East Road, Victoria, BC V8Y 1V7, Canada",,,   ,No,12 May 2014
19021,,Corey J,Canada,Troll,9,,,Nanaimo,29441,,,11.35,Length Overall,3.96,1.43,15,235,1989,Maple Ridge BC Valleyboats,,"P.O. Box 916, Parksville, British Columbia V9P 2G9, Canada",,,   ,Yes,12 Apr 2024
14745,,Courtenay Maid,Canada,Troll,74,,,Comox,27950,,,15.54,Length Overall,,,53,220,,,,"2108 Gibson Road, Port Alberni, BC V9Y 1A7, Canada",,,   ,No,12 May 2014
15312,,Devonian,Canada,Troll,2,,6,Victoria,310132,,,8.63,Type of Length Unknown,3.14,1,4,300,2000,,Pacific Dynasty Ventures Incorporated,"1058 Pandora Avenue, Victoria, BC V8V 3P5, Canada",,,   ,Yes,15 Jul 2013
15295,,Dodie,Canada,Troll,8,,7,,23456,,,13.56,Type of Length Unknown,4,2.1,11,95,1952,,"Ace of Spades Fishing, Ltd.","10945 West Coast Road, Sooke, BC V9Z 1G9, Canada",,,   ,No,15 Jul 2013
14748,,Dori Louise,Canada,Troll,27,,10,Victoria,24715,,CFG7714,15.24,Length Overall,4,1.68,18,180,1971,,,"1464 Estevan Road, Nanaimo, BC V9S 3Y4, Canada",,,   ,Yes,01 Jan 2015
14749,,Double Decker,Canada,Troll,67,,50,Victoria,22606,,CZ7723,19.81,Length Overall,5.7,2.71,59,365,1973,,"Charlotte Ventures, Ltd.","3337 Skinner Road, Duncan, BC V9L 4V4, Canada",,,   ,Yes,15 Jul 2013
17389,,Easy Rider III,Canada,Troll,18,,,Vancouver,23790,,,11.8,Length Overall,3.47,1.34,14,265,1975,"Deltaga Boat Works, Ltd.",,"4756 Cedar Tree Lane, Delta, B.C. V4K 4G6, Canada",,,   ,Yes,29 Mar 2019
14750,,Edge,Canada,Troll,15,,11,Vancouver,23806,,VG3284,12.8,Length Overall,3.66,1.52,8,150,1979,,"Dellwood Fishing Company, Ltd.","5776 East Sooke Road, Sooke, BC V9Z 0Z6, Canada",,,   ,No,12 May 2014
14751,,Eliza Joye,Canada,Troll,32,,,Nanaimo,26464,,CFG7298,16.15,Length Overall,5.43,2.19,28,235,1979,,"Highball Fishing Company, Ltd.","1977 Caldwell Road, Sooke, BC V9Z 0P6, Canada",,,   ,No,15 Jul 2013
17398,,Ella Maude,Canada,Troll,29,,,Victoria,24304,,,10.68,Length Overall,3.41,1.31,10,112,,,,"7245 Peden Lane, Brentwood Bay, BC V8M 1C5, Canada",,,   ,Yes,16 Apr 2019
14752,,Elusive Destiny,Canada,Troll,24,,10,Victoria,23933,,CFL9270,12.09,Length Overall,4.05,1.73,15,130,1977,,,"900 Douglas Avenue, Nanaimo, BC V9R 4N1, Canada",,,   ,Yes,15 Jul 2013
14753,,Enterprise V,Canada,Troll,59,,45,Steveston,29735,8560549,CFG7368,17.68,Length Overall,6.4,2.23,53,500,1989,,"Simpson Enterprises, Ltd.","10252 - 135 Street, Surrey, BC V3T 4C2, Canada",,,   ,Yes,06 Jan 2020
15296,,Erin Isle,Canada,Troll,,,,Vancouver,23237,,,12.6,Type of Length Unknown,3.35,,9,,1974,,"Campbell River Fishing Company, Ltd.","P.O. Box 93, Campbell River, BC V9W 4Z9, Canada",,,   ,No,15 Jul 2013
15612,,Escapade,Canada,Troll,,,,,26509,,,,Type of Length Unknown,,,,,,,"Escapade Fishing Company, Ltd.","3731 Garry Street, Richmond, BC V7E 2T6, Canada",,,   ,No,12 May 2014
14755,,Estevan,Canada,Troll,10,,10,Victoria,311124,,,15.09,Length Overall,5,3.2,21,160,1973,,,"4098 Gartley Point Road, Courtenay, BC V9N 9T2, Canada",,,   ,Yes,15 Jul 2013
14756,,Evalisa,Canada,Troll,42,,7,Kyuquot,29027,,,12.57,Length Overall,3.75,1.46,11,225,1986,,,"810 Ellcee Place, Courtenay, BC V9N 7G3, Canada",,,   ,Yes,15 Jul 2013
14757,,Evening Breeze,Canada,Troll,37,,8,Vancouver,23011,,,12.92,Length Overall,3.78,1.46,26,108,1989,,"S & M Fish Enterprises, Ltd.","256 Finch Road, Campbell River, BC V9H 1K7, Canada",,,   ,Yes,15 Jul 2013
17784,,Evening Dawn,Canada,Troll,55,,,Nanaimo,29345,,,10.91,Length Overall,3.75,1.43,14,310,1988,,,"9584 Iroquois Way, Sidney, B.C. V8L 4S8, Canada",,,   ,Yes,10 Jul 2019
17862,,Fat Fish,Canada,Troll,7,,,Prince Rupert,29165,,CFK9135,10.97,Length Overall,3.81,,13,220,1988,Goldrup Shipyard,,"1152 Lugrin Place, Victoria, BC V9A 4T3, Canada",,,   ,Yes,17 Jul 2019
16380,,Fear Knot II,Canada,Troll,81,,,Nanaimo,312980,,,18.29,Length Overall,7,2.8,71,500,2016,,"Moon Dancer Fishing Company, Ltd.","2425 Edwards Road, Nanoose Bay, BC V9P 9A5, Canada",,,   ,Yes,14 Aug 2017
18195,,Finatic,Canada,Troll,2,,,Tofino,C28547BC,,,9.75,Length Overall,2.59,0.91,4,300,2014,,,"1035 Jensens Bay Road, Tofino, BC V0R 2Z0, Canada",,,   ,Yes,01 Dec 2020
17390,,Five Kings II,Canada,Troll,19,,,Victoria,22525,,,14.33,Length Overall,3.96,2.04,29,180,1964,,,"1668 W First Avenue, Vancouver, B.C. V6J 1G1, Canada",,,   ,Yes,29 Mar 2019
14759,,Foremost,Canada,Troll,128,,16,Nanaimo,24189,,CFN5162,16.43,Length Overall,4.69,2.1,28,250,1978,,"Loch Ranza Fishing Company, Ltd.","5791 Telegraph Trail, West Vancouver, BC V7W 1R5, Canada",,,   ,Yes,15 Jul 2013
14760,,Freedom Charger,Canada,Troll,17,,12,Victoria,29294,,VB3668,13.13,Length Overall,4.6,2.5,67,150,1988,,Triangle Seafoods Corporation,"1480 Skeena Drive, Comox, BC V9M 3J4, Canada",,,   ,Yes,15 Jul 2013
14761,,Gotha Foss,Canada,Troll,19,,14,Nanaimo,24576,,CY8344,14.94,Length Overall,4.02,2.04,21,127,1966,,,"7780 Lantzville Road, Lantzville, BC V0R 2H0, Canada",,,   ,Yes,15 Jul 2013
16381,,Grace XIX,Canada,Troll,,,9,New Westminster,24972,8539265,,11.83,Length Registered,3.35,1.46,12,275,1973,,"P. & S. Fisheries, Ltd.","P.O. Box 1022, 842 Breakwater Road, Parksville, BC V9P 2H1, Canada",,,   ,Yes,06 Jan 2020
14762,,Gypsy Soul,Canada,Troll,42,,10,New Westminster,24367,,CFG7340,14.33,Length Overall,4.02,2.29,11,176,1979,,,"#2 10860 Chemainus Road, Ladysmith, BC V9G 2A4, Canada",,,   ,Yes,15 Jul 2013
14877,,Haida Legend,Canada,Troll,25,,14,Vancouver,27023,,CY9688,15.24,Length Overall,4.66,2.04,24,250,1970,,,"512 Abbott, Mayne Island, BC V0N 2V1, Canada",Skeena Cloud - Change to Haida Legend notified on 26 Apr 2018 (recorded on 30 Jun 2021) - Flag at time of change: Canada,,   ,No,30 Jun 2021
19300,,Hanna Lio,Canada,Troll,35,,,Victoria,23162,,1A CZ9129,15.24,Length Overall,4.88,2.16,41,195,1997,,,"27 Erie Street, Victoria, British Columbia V8V 1P8, Canada",,,   ,Yes,04 Jun 2025
14763,,Harvest Moon III,Canada,Troll,92,,17,Nanaimo,20070,,,14.91,Length Overall,4,2,,260,1981,,,"7899 Wallace Drive, Saanichton, BC V8M 1L5, Canada",,,   ,Yes,15 Jul 2013
14764,,Harvest Moon Tu,Canada,Troll,25,,19,Victoria,23812,,CZ8724,14.83,Length Overall,4.42,1.92,32,400,1979,,,"P.O. Box 853, Sooke, BC V9Z 1H8, Canada",,,   ,Yes,31 Jul 2017
14765,,Hatta III,Canada,Troll,10,,,Vancouver,23658,,CY2079,15.54,Length Overall,4.08,1.92,52,171,1936,,"Hatta Enterprises, Ltd.","3185 Munns Road, Victoria, BC V9E 1C8, Canada",,,   ,Yes,15 Jul 2013
18535,,Heather Rae,Canada,Troll,56,,,Victoria,23322,,,15.67,Length Overall,4.63,2.44,40,159,1974,"Pelagic Pacific Industries, Ltd.",,"1939 Marten Avenue, Comox, BC  V9M2J9, Canada",,,   ,Yes,26 Oct 2021
14848,,Hecate Strait No. 1,Canada,Troll,28,,22,Victoria,26354,,CFG7500,16.46,Length Overall,4.97,2.13,29,233,1979,,"Three Amigos Seafoods, Ltd.","24622 35th Avenue, Langley, BC V2Z 1J2, Canada",Parr Four - Change to Hecate Strait No. 1 notified on 17 Jul 2014 (recorded on 30 Jun 2021) - Flag at time of change: Canada,,   ,Yes,30 Jun 2021
14767,,Island Gale,Canada,Troll,10,,7,Vancouver,24753,,,12.57,Length Overall,3.96,2.13,11,180,1979,,,"21976 86A Avenue, Langley, BC V1M 3S7, Canada",,,   ,Yes,15 Jul 2013
14768,,Island Joy,Canada,Troll,20,,,Nanaimo,22783,,,17.22,Length Overall,4.87,2.74,44.74000168,275,1979,"Gooldrop Hulls, Ltd.","Longline Ventures, Ltd.","P.O. Box 476, Sooke, BC V9Z 1H4, Canada",,,   ,Yes,26 Sep 2022
16376,,Island Sun,Canada,Troll,,,100,Vancouver,20430,8950639,VG7348,23.07,Length Overall,7.01,2.9,117,850,1980,John Manly Shipyard,"Island Fishing, Ltd.","P.O. Box 37, Sointula, BC V0N 3E0, Canada",,,   ,Yes,31 Jul 2017
18144,,Jabberwock,Canada,Troll,30,,,Vancouver,22867,,,14.3,Length Overall,4,1.98,28,150,1979,,,"6324 Samron Road, Sechelt, BC V0N 3A7, Canada",,,   ,Yes,04 Jun 2020
17785,,Jalun River,Canada,Troll,25,,,Vancouver,25682,,,12.72,Length Overall,3.8,1.46,14,471,1979,,"Gerald Enterprises, Ltd.","Box 192, Quathiaski Cove, B.C. V0P 1N0, Canada",,,   ,Yes,10 Jul 2019
14770,,Janatlee,Canada,Troll,108,,15,Comox,24040,8564870,CFL5502,15.26,Length Overall,4.43,2.23,27,153,1969,,"Gordon Seafoods, Ltd.","2284 Idiens Way, Courtenay, BC V9N 4A2, Canada",,,   ,Yes,04 Jun 2020
14771,,Jeanette Dawn,Canada,Troll,57,,23,Victoria,22950,,V67900,15.19,Length Overall,4.88,1.74,26,180,1979,,"Challenger Enterprises, Ltd.","1805 Eliza Point Road, Sooke, BC V9Z 1A5, Canada",,,   ,Yes,23 Apr 2012
14772,,Jeanna Marie,Canada,Troll,92,,,Gibsons,20481,7927790,,31.51,Length Overall,,,66,750,,,Midstream Fisheries Corporation,"1207 Pacific Drive, Delta, BC V4M 2K2, Canada",,,   ,No,06 Jan 2020
14773,,Joy-C-Lynn,Canada,Troll,37,,15,Vancouver,24431,,CFG7644,15.37,Length Overall,4.48,1.92,21,320,1980,,"Quality Time Fishing, Ltd.","600 Pym Street, Parksville, BC V9P 1B6, Canada",,,   ,Yes,15 Jul 2013
14774,,Judy Lee,Canada,Troll,42,,22,Vancouver,30850,,CFG7718,16.77,Length Overall,5.03,2.1,27,239,1973,,,"11685 Sunshine Coast Highway, Madeira Park, BC V0N 2H1, Canada",,,   ,Yes,15 Jul 2013
15620,,Just Travlin',Canada,Troll,,,,Vancouver,30047,,,11.35,Type of Length Unknown,4.1,,25,,1992,,"Allison Isle Fishing, Ltd.","3331 Pleasant Street, Richmond, BC V7E 2P3, Canada",,,   ,Yes,12 May 2014
19321,,Kaitiaki,Canada,Troll,4,,,Vancouver,313821,,,12.5,Length Overall,4.46,1.58,14,,2023,,46 South Fish Company,"400-601 West Broadway, Vancouver, BC V5Z 4C2, Canada",,,   ,Yes,08 Aug 2025
14775,,Kal-Anne,Canada,Troll,71,,20,Victoria,24294,8558388,CZ9290,16.46,Length Overall,5.2,2.6,29,300,1978,,"496852 B.C., Ltd.","931 McFeely Drive, Qualicum Beach, BC V9K 2B7, Canada",,,   ,Yes,06 Jan 2020
14776,,Karen O,Canada,Troll,34,,12,Campbell River,25324,,,15.54,Length Overall,4.26,2.13,19,180,1963,,,"21 Murphy Street S, Campbell River, BC V9W 1Y5, Canada",,,   ,No,15 Jul 2013
14777,,Keythera,Canada,Troll,102,,14,Port Alberni,23907,,CFG7378,15.37,Length Overall,4.45,2.19,26,175,1976,,Worldwide Seafood Incorporated,"2115 Commissioner Street, Vancouver, BC V5L 1A6, Canada",,,   ,Yes,15 Jul 2013
19318,,Kimsquit,Canada,Troll,,,,Haida Gwaii,310758,,,9.14,Length Overall,3.05,0.91,7,300,2021,,,"700 Ocean View Subdivision, Skidegate, BC V0T1S1, Canada",,,   ,Yes,24 Jul 2025
18145,,King Size,Canada,Troll,2,,,Vancouver,313444,,,11.21,Length Overall,3.04,0.91,5,900,2012,Invincible Boat Company,,"634 Campbell Street B69, Tofino, BC V0R 220, Canada",,,   ,Yes,01 Dec 2020
14778,,Kiusta,Canada,Troll,12,,7,Nanaimo,25691,,,13.01,Length Overall,3.72,1.49,26,103,,,"Delusion Bay Fishing, Ltd.","P.O. Box 1178, Prince Rupert, BC V8J 4H6, Canada",,,   ,No,15 Jul 2013
17400,,Kor-wes,Canada,Troll,,,,Vancouver,23428,,,11.09,Length Overall,3.47,1.25,15,235,1975,"Deltaga Boat Works, Ltd.",,"13020 No 2nd, Apt 230, Richmond, BC V7E 6S3, Canada",,,   ,Yes,02 May 2019
15298,,Kuroshio,Canada,Troll,12,,2,Victoria,30673,,,10.62,Type of Length Unknown,3.11,0.91,3,507,1995,,,"2540 Shakespeare Street, Victoria, BC V8R 4G5, Canada",,,   ,Yes,15 Jul 2013
15299,,La Porsche,Canada,Troll,127,,52,Vancouver,20469,8562377,VY9305,22.66,Type of Length Unknown,6.1,2.62,67,425,1978,,"Snowfall Fishing Company, Ltd.","10485 Main Street, Delta, BC V4C 2P7, Canada",,,   ,Yes,04 Jun 2020
14779,,Lasqueti Endeavor,Canada,Troll,71,,15,Vancouver,22413,,,13.41,Length Overall,3.81,2.61,20,170,1980,,"Lasqueti Steeler Fishing Company, Ltd.","103-4535 Uplands Drive, Nanaimo, BC V9T 6M8, Canada",,,   ,Yes,15 Jul 2013
14780,,Lasqueti Gambler,Canada,Troll,42,,10,Vancouver,22610,,VG2960,13.64,Length Overall,3.9,1.52,11,140,1979,,"Lasqueti Steeler Fishing Company, Ltd.","103-4535 Uplands Drive, Nanaimo, BC V9T 6M8, Canada",,,   ,Yes,15 Jul 2013
17402,,Lasqueti Knight,Canada,Troll,11,,,Vancouver,21922,,,10.52,Length Overall,3.96,1.4,15,346,1979,,,"748 4th Avenue, Campbell River, B.C. V9W 3W9, Canada",,,   ,Yes,15 May 2019
14873,,Lasqueti Star,Canada,Troll,41,,,Nanaimo,28588,8555439,VG7318,11.46,Length Overall,3.87,1.46,15,223,1986,Independent Shipwrights,"Lasqueti Steeler Fishing Company, Ltd.","103-4535 Uplands Drive, Nanaimo, BC V9T 6M8, Canada",Sharla Dawn - Change to Lasqueti Star notified on 28 Jun 2024 (recorded on 28 Jun 2024) - Flag at time of change: Canada,,   ,Yes,28 Jun 2024
14781,,Lasqueti Steeler,Canada,Troll,219,,36,Nanaimo,20037,,N111307,19.76,Length Overall,6.16,2.62,55,475,1980,,"Lasqueti Fishing Company, Ltd.","4488 Wellington Road Suite 1, Nanaimo, BC V9T 2H3, Canada",,,   ,Yes,15 Jul 2013
14782,,Lasqueti Storm,Canada,Troll,244,,4,Nanaimo,29569,,CFC3353,20.68,Length Overall,,,86,425,1987,,"Lasqueti Fishing Company, Ltd.","4488 Wellington Road Suite 1, Nanaimo, BC V9T 2H3, Canada",,,   ,Yes,15 Jul 2013
17224,,Lasqueti Wrangler,Canada,Troll,37,,,Vancouver,30868,,,10.81,Length Registered,5.47,2.85,35,230,1997,,"Apple River Fishing, Ltd.","1-4488 Wellington Road, Nanaimo, BC V9T 2H3, Canada",Simba II - Change to Lasqueti Wrangler notified on 29 Jul 2019 (recorded on 30 Jul 2019) - Flag at time of change: Canada,,   ,Yes,30 Jul 2019
14783,,Laura Michelle,Canada,Troll,39,,7,Vancouver,23577,,,12.8,Length Overall,3.78,1.46,10,147,1979,,,"1152 Lugrin Place, Victoria, BC V9A 4T3, Canada",,,   ,No,12 May 2014
14784,,Laurel Ann,Canada,Troll,32,,,Comox,28357,,,12.95,Length Overall,,,23,177,,,,"P.O. Box 68, Prince Rupert, BC V8J 3P4, Canada",,,   ,No,12 May 2014
14785,,Laur-Inda-Lee,Canada,Troll,17,,12,Nanaimo,26805,,26805,14.73,Length Overall,4.15,1.52,10,170,1978,,,"2254 Upland Road, Campbell River, BC V9H 1C1, Canada",,,   ,Yes,14 Aug 2017
14786,,Lee B J,Canada,Troll,39,,3,Victoria,25544,,,12.78,Length Overall,3.76,2.44,10,175,1979,,"Lee BJ Fishing, Ltd.","1561 Evergreen Street, Campbell River, BC V9W 3S3, Canada",,,   ,Yes,15 Jul 2013
14787,,Left Hook,Canada,Troll,97,,22,Victoria,23894,,VY9903,14.58,Length Overall,4.88,1.74,25,190,1980,,"GLJ Fishing Company, Ltd.","3966 Marine Drive, Royston, BC V0R 2V0, Canada",,,   ,Yes,15 Jul 2013
17371,,L'il Miss Molly,Canada,Troll,28,,14,Nanaimo,29309,,,10.67,Length Overall,3.87,1.49,15,,1988,,"Quality Time Fishing, Ltd.","600 Pym Street, Parksville, BC V9P 1B6, Canada",,,   ,Yes,08 Feb 2019
14788,,Lofoten II,Canada,Troll,24,,17,Vancouver,23864,,GFG7524,16.35,Length Overall,4.63,1.98,25,218,1977,,"Simpson Fishing Company, Ltd.","10252 - 135 Street, Surrey, BC V3T 4C2, Canada",,,   ,Yes,15 Jul 2013
14789,,Maipa,Canada,Troll,10,,7,Vancouver,23866,,,12.85,Length Overall,3.7,1.83,10,140,1971,,,"2250 Stewart Avenue, Courtenay, BC V9N 3H9, Canada",,,   ,Yes,15 Jul 2013
14790,,Majestic IV,Canada,Troll,8,,6,Victoria,26626,,CY5529,12.97,Length Overall,3.66,2.07,13,127,1947,,,"P.O. Box 20, Heriot Bay, BC V0P 1H0, Canada",,,   ,Yes,23 Apr 2012
14791,,Malahat II,Canada,Troll,81,,12,Vancouver,24402,,VG8979,14.33,Length Overall,4.42,1.8,20,150,1980,,"Malahat II Fishing, Ltd.","12038 Osprey Court, Richmond, BC V7E 3S6, Canada",,,   ,Yes,15 Jul 2013
14792,,Mandala No 1,Canada,Troll,109,,,Victoria,29661,,CFG7559,15.85,Length Overall,5.03,2.01,27,270,1989,,"G & I Fishing And Investments, Ltd.","838 Monarch Drive, Courtenay, BC V9N 9X2, Canada",,,   ,No,15 Jul 2013
14793,,March Girl,Canada,Troll,38,,10,French Creek,25409,,,12.92,Length Overall,4.2,1.4,11,127,1979,,"Westmore Excavating, Ltd.","3951 Appian Way, Campbell River, BC V9H 1G3, Canada",,,   ,Yes,23 Apr 2012
14795,,Marnie,Canada,Troll,46,,9,Vancouver,20184,,VG7397,14.2,Length Overall,4.11,1.8,12,140,1976,,"Marnie Fisheries, Ltd.","4652 Montrose Drive, Courtenay, BC V9N 9S8, Canada",,,   ,No,15 Jul 2013
14796,,Midnight Mariner 1,Canada,Troll,40,,40,Nanaimo,20559,,CZ3008,18.87,Length Overall,5.49,2.13,52,370,1972,,"Szado Fishing, Ltd.","3292 Wavecrest Drive, Nanaimo, BC V9T 5X1, Canada",,,   ,No,08 Feb 2019
14797,,Milbanke Sound,Canada,Troll,512,,45,Vancouver,20866,6404789,CY6888,30.7,Length Overall,7.35,3.38,129,560,1963,,"The Canadian Fishing Company, Ltd.","North Foot of Gore Avenue, Vancouver, BC V6A 2Y7, Canada",,,   ,Yes,06 Jan 2020
18539,,Miss Lara,Canada,Troll,,,,Nanaimo,29559,,,12.52,Length Overall,3.81,1.07,15,,1989,,,"1152 Lugrin Place, Victoria, BC V9A 4T3, Canada",,,   ,Yes,07 Dec 2021
14798,,Miss Lee II,Canada,Troll,20,,,Comox,23399,,,12.8,Length Overall,,,14,225,,,,"3050 Mander Road, Gabriola, BC V0R 1X7, Canada",,,   ,No,12 May 2014
14799,,Miss Pacific,Canada,Troll,32,,17,Prince Rupert,25036,,VG4155,15.89,Length Overall,4.88,1.71,29,265,1978,,"Harbour View Enterprises, Ltd.","652 Lands End Road, North Saanich, BC V8L 5K9, Canada",,,   ,Yes,15 Jul 2013
17526,,Miss Rachel,Canada,Troll,22,,,Nanaimo,24188,,,14.26,Length Overall,4.57,1.86,30,167,1976,"Gooldrop Hulls, Ltd.","Ossinger Fishing, Ltd.","2270 June Road, Courtenay, B.C. V95 1X9, Canada",,,   ,Yes,13 Jun 2019
