"CCSBT Registration Number","Vessel Group","Vessel Name","Previous Vessel Name",Flag,"Authorising Entity",Callsign,"Vessel Registration Number",IMO,Tonnage,"Vessel Type","Gear Type",Length,"Length Type","Owner Name","Owner Address","Owner Country","Operator Name","Operator Address","Operator Country","Onboard Freezing Capacity","Authorisation Start Date","Authorisation End Date"
FV8011,Fishing,"OCEAN MYST II","OCEAN MYST",Australia,Australia,VMQ8662,901488,,60.00,Longline,LL,22,LOA,"TUNA FISHING AUSTRALIA PTY LTD","PO Box 14, Buddina QLD 4575",Australia,"TUNA FISHING AUSTRALIA PTY LTD","PO Box 14, Buddina QLD 4575",Australia,No,"08 Jul 2025","30 Nov 2025"
FV8010,Fishing,MICAVA,,Australia,Australia,VNZ3650,462863,1115204,79.00,Longline,LL,23.5,LOA,"F.M.F PIRRELLO & FMC FISHERIES PTY LTD","14 STONY HILL LANE, MILTON NSW 2538",Australia,"F.M.F PIRRELLO & FMC FISHERIES PTY LTD","14 STONY HILL LANE, MILTON NSW 2538",Australia,No,"27 Jun 2025","30 Nov 2025"
FV7796,Fishing,PUFFIN,,"South Africa","South Africa",ZS6113,"HTB 295",,,"Bait boat","BB,RR",13.85,LOA,"PUFFIN FISHING CC","17 THE AVENUE, SILVERHURST ESTATE, CONSTANTIA,7806, CT 8000","South Africa","PUFFIN FISHING CC","17 THE AVENUE, SILVERHURST ESTATE, CONSTANTIA,7806, CT 8000","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV7797,Fishing,"TARRYN AMY",,"South Africa","South Africa",ZR4809,"CT 739",,,"Bait boat","BB,RR",14.1,LOA,"VOYAGER FISHING CC","17 THE AVENUE, SILVERHURST ESTATE, CONSTANTIA,7806, CT 8000","South Africa","VOYAGER FISHING CC","17 THE AVENUE, SILVERHURST ESTATE, CONSTANTIA,7806, CT 8000","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV7794,Fishing,"BLACK PEARL",,"South Africa","South Africa",ZS7655,"HTB 350",,,"Bait boat","BB,RR",12.65,LOA,"GOLD MEDALLION INVESTMENTS(PTY)LTD","17 THE AVENUE, SILVERHURST ESTATE, CONSTANTIA 7806 CT 8000","South Africa","GOLD MEDALLION INVESTMENTS(PTY)LTD","17 THE AVENUE, SILVERHURST ESTATE, CONSTANTIA 7806 CT 8000","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV4276,Fishing,UBUNTU,Y,"South Africa","South Africa",ZR5918,350706,7385253,195.00,Longline,LL,27.57,LOA,"TRESSO TRADING 626 (PTY) LTD","13 ERICA STREET, MILNERTON, 7441, CAPE TOWN, WESTERN CAPE","South Africa","AX FISHING (PTY) LTD AND BATSILVA (PTY) LTD","13 ERICA STREET, MILNERTON, 7441, CAPE TOWN, WESTERN CAPE","South Africa",Yes,"01 Mar 2025","28 Mar 2026"
CV7742,Carrier,HARIMA,,Singapore,"Fishing Entity of Taiwan",9VBI5,403748,9819923,6586.00,"Transhipment/carrier vessels",,127.81,LBP,"WANG TAT CORPORATION PTE LTD.","10 ANSON ROAD # 29-07 INTERNATIONAL PLAZA, SINGAPORE 079903",Singapore,"UNITED JAPAN CORPORATION","SHINBASHI YOSHIKI BLDG. 3RD FLOOR, 4-27-4 SHINBASHI, MINATO-KU, TOKYO",Japan,,"17 Mar 2025","31 Dec 2025"
FV8009,Fishing,ABNOXIOUS,NONE,Australia,Australia,,YDK,,3.00,Handline,HAND,6.06,LOA,"WILD LIFE FISHERIES","92 RAYMOND STREET, TOOTGAROOK VIC 3941",Australia,"WILD LIFE FISHERIES","92 RAYMOND STREET, TOOTGAROOK VIC 3941",Australia,No,"16 Jun 2025","30 Nov 2025"
CV7738,Carrier,IBUKI,,Panama,Japan,3ELC8,46403-14-C,9666481,6558.00,"Transhipment/carrier vessels",,127.81,LBP,"STAR NAVIGATION S.A.","MMG TOWER 16TH FLOOR, 53RD E STREET, URBANIZACION, MARBELLA, PANAMA",Panama,"MRS CORPORATION","MMG TOWER 16th FLOOR, 53rd E STREET, URBANIZACION MARBELLA,PANAMA",Japan,,"03 Dec 2024","03 Dec 2026"
CV7708,Carrier,YACHIYO,,Panama,Japan,3FXL7,50229-19-B,9851581,6607.00,"Transhipment/carrier vessels",,127.81,LBP,"STAR NAVIGATION S.A.","MMG TOWER 16TH FLOOR, 53RD E STREET, URBANIZACION, MARBELLA, PANAMA",Panama,"MRS CORPORATION","MMG TOWER 16th FLOOR, 53rd E STREET, URBANIZACION MARBELLA,PANAMA",Japan,,"14 Feb 2025","14 Feb 2027"
CV7749,Carrier,CHIKUMA,,Panama,Japan,3EGV3,52265-21-B,9666493,6558.00,"Transhipment/carrier vessels",,127.81,LBP,"OCEAN WIDE SHIPPING S.A.","SHINBASHI YOSHIKI BLDG. 3F, 4-27-4, SHINBASHI, MINATO-KU, TOKYO, 105-0004",Panama,"MRS CORPORATION","MMG TOWER 16th FLOOR, 53rd E STREET, URBANIZACION MARBELLA,PANAMA",Japan,,"13 Apr 2025","13 Apr 2027"
FV6553,Fishing,"OCEAN EXPLORER",COMANCHE,Australia,Australia,VMQ8729,O506,8564595,85.00,Longline,LL,22,LOA,"TUNA FISHING AUSTRALIA PTY LTD","PO Box 14, Buddina QLD 4575",Australia,"TUNA FISHING AUSTRALIA PTY LTD","PO Box 14, Buddina QLD 4575",Australia,,"16 Jun 2025","30 Nov 2025"
CV4758,Carrier,KURIKOMA,,Japan,"Fishing Entity of Taiwan",7KQO,144769,9145920,4176.00,"Transhipment/carrier vessels",,114.82,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,,"05 Jun 2025","26 May 2026"
CV7746,Carrier,"GENTA MARU",,Japan,"Fishing Entity of Taiwan",7KQP,144770,9620384,3997.00,"Transhipment/carrier vessels",,99.06,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,,"05 Jun 2025","26 May 2026"
CV6514,Carrier,"KENTA MARU",,Japan,"Fishing Entity of Taiwan",7KBJ,TK1-1406,9788772,5846.00,"Transhipment/carrier vessels",,115.44,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,,"03 Jun 2025","28 Feb 2026"
CV7743,Carrier,"GOUTA MARU",,Japan,"Fishing Entity of Taiwan",7JUZ,142469,9746827,4865.00,"Transhipment/carrier vessels",,104.2,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,,"03 Jun 2025","28 Feb 2026"
FV4278,Fishing,"PRINS WILLEM 1",,"South Africa","South Africa",ZR4790,19602,6930312,193.59,Longline,LL,30.9,LOA,"GARIES CONSOLIDATED HOLDINGS PTY LTD","1 PORTLAND ROAD, RONDEBOSCH CAPE TOWN, 7700","South Africa","SSOLOMZI TSHIKI","1 PORTLAND ROAD, RONDEBOSCH, CAPE TOWN, 7700","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV7844,Fishing,KIANGA,,"South Africa","South Africa",ZS4231,12208,8704688,300.00,Longline,LL,30,LOA,"KIANGA DEEP SEA VESSEL COMPANY (PTY) LTD","HARBOUR AREA, GANSBAAI, 7220","South Africa","KIANGA DEEP SEA VESSEL COMPANY (PTY) LTD","HARBOUR AREA, GANSBAAI, 7220","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
CV7745,Carrier,"GENTA MARU",,Japan,Japan,7KQP,144770,9620384,3997.00,"Transhipment/carrier vessels",,99.06,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,,"27 May 2025","26 May 2026"
CV7734,Carrier,KURIKOMA,,Japan,Japan,7KQO,144769,9145920,4176.00,"Transhipment/carrier vessels",,114.82,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,,"27 May 2025","26 May 2026"
FV8007,Fishing,"BANDAR NELAYAN - 75",,Indonesia,Indonesia,YEB5202,"123 NO.1430/MMA",8592152,123.00,Longline,LL,30.28,LOA,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,Yes,"21 May 2025","31 Dec 2025"
FV8008,Fishing,"BANDAR NELAYAN - 118",,Indonesia,Indonesia,YEA5380,"140 NO.2514/PD",8592205,140.00,Longline,LL,32.85,LOA,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,Yes,"21 May 2025","31 Dec 2025"
CV7965,Carrier,"TAISEI MARU NO.24",,Japan,Korea,JILE,MEI-887,9086758,4992.00,"Transhipment/carrier vessels",,124.25,LOA,"TAISEIMARU KAIUN KAISHA, LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,"TOEI REEFER LINE LTD.","5-5, HONMACHI ISE-SHI, MIE-KEN, 516-0075",Japan,,"20 May 2025","16 May 2026"
CV8006,Carrier,"TAISEI MARU NO.15","TAISEI MARU NO.15",Japan,Korea,7JTK,142312,8710728,4969.00,"Transhipment/carrier vessels",,124.25,LOA,"TAISEIMARU KAIUN KAISHA, LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,"TOEI REEFER LINE LTD.","5-5, HONMACHI ISE-SHI, MIE-KEN, 516-0075",Japan,,"16 May 2025","16 May 2026"
FV8005,Fishing,"BANDAR NELAYAN 281","LINTAS PASIFIK",Indonesia,Indonesia,YEB5062,"114 NO.1419/MMA",8592281,114.00,Longline,LL,31.36,LOA,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,Yes,"09 May 2025","31 Dec 2025"
FV8004,Fishing,"BANDAR NELAYAN - 08",,Indonesia,Indonesia,YEA5241,"135 NO.608/PD",8592114,135.00,Longline,LL,31.21,LOA,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,Yes,"09 May 2025","31 Dec 2025"
FV1282,Fishing,ESBJORN,,Australia,Australia,VMQ8546,O767,8036897,160.00,Longline,LL,23.78,LOA,"LAVALLE FISHERIES PTY LTD","PO BOX 1021 ULLADULLA NSW 2539",Australia,"LAVALLE FISHERIES PTY LTD","PO BOX 1021 ULLADULLA NSW 2539",Australia,No,"08 May 2025","30 Nov 2025"
FV6351,Fishing,MAINE,,"South Africa","South Africa",ZR8767,HTB204,,,"Bait boat",BB,14,REG,"PRO-TUNA FISHING CC","33 ARUNDEL ROAD, RONDEBOSCH, 7700","South Africa","PRO-TUNA FISHING CC","33 ARUNDEL ROAD, RONDEBOSCH, 7700","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV7845,Fishing,"COMMON WEALTH",N/A,"South Africa","South Africa",ZR9741,ZA,8593974,,"Bait boat",BB,13.95,LOA,"SPA FISHING (PTY) LTD","FARM 992, REDHILL ROAD SIMONS TOWN 7975","South Africa","SPA FISHING (PTY) LTD","FARM 992, REDHILL ROAD SIMONS TOWN 7975","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV7850,Fishing,ALALUNGA,,"South Africa","South Africa",ZR2562,CT992,,,"Bait boat",BB,13.9,REG,"PRO-TUNA FISHING CC","33 ARUNDEL ROAD, RONDEBOSCH, 7700","South Africa","PRO-TUNA FISHING CC","33 ARUNDEL ROAD, RONDEBOSCH, 7700","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV4281,Fishing,SAXON,,"South Africa","South Africa",ZR4107,FV4281,8733263,80.80,Longline,LL,23.9,REG,"SCEPTRE FISHING (PTY) LTD","2 STRUIS CRESCENT STRUISBAAI 7285","South Africa","SAXON FISHING (PTY) LTD","2 STRUIS CRESCENT STRUISBAAI 7285","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV6361,Fishing,GARY,Y,"South Africa","South Africa",ZR4309,,,22.50,"Bait boat","BB,RR",12.2,LOA,"LIMARCO NINE CC","35 TURQUOISE WAY NOORDHOEK","South Africa","LIMARCO NINE CC","35 TURQUOISE WAY NOORDHOEK","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV6429,Fishing,"NICKY B",,"South Africa","South Africa",ZR2314,HTB288,,,"Bait boat",BB,14.12,,"TWOLINE TRADING 163 PTY LTD","1 FAIRBAIRN WAY, MEADOWRIDGE","South Africa","TWOLINE TRADING 163 PTY LTD","1 FAIRBAIRN WAY, MEADOWRIDGE","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV7846,Fishing,MAVERICK,,"South Africa","South Africa",ZS9965,DTC15808,,,"Bait boat",BB,15.1,,"DORMEX 149 PTY LTD","21 RICHARD WALNE ROAD MAYDON WHARF","South Africa","DORMEX 149 PTY LTD","21 RICHARD WALNE ROAD MAYDON WHARF","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV7847,Fishing,"TYLER'S TIDE",,"South Africa","South Africa",ZS7668,"DTS 5329",,,"Bait boat",BB,13.9,,"DORMEX 149 PTY LTD","21 RICHARD WALNE ROAD MAYDON WHARF","South Africa","DORMEX 149 PTY LTD","21 RICHARD WALNE ROAD MAYDON WHARF","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV6368,Fishing,SANDALENE,,"South Africa","South Africa",ZR7369,350299,,86.42,"Bait boat",BB,20.77,LOA,"BSS TRADING 17","12 BALMORAL AVENUE, BERGVLIET, 7475","South Africa","BSS TRADING 17","12 BALMORAL AVENUE, BERGVLIET, 7475","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV6507,Fishing,"SANTA CRUZ",,"South Africa","South Africa",ZR4474,11713,9833022,136.82,Longline,LL,23.15,LOA,"SIJUBILYE FISHING (PTY) LTD","2 DRIFT CLOSE, DUNE RIDGE ESTATE, BIG BAY","South Africa","SIJUBILYE FISHING (PTY) LTD","2 DRIFT CLOSE, DUNE RIDGE ESTATE, BIG BAY","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
CV6639,Carrier,"YONG MAN SHUN",,"Fishing Entity of Taiwan","Fishing Entity of Taiwan",BL2235,CT8-0235,7302031,1139.00,"Transhipment/carrier vessels",,73.3,LOA,"EXHIBITION AQUATIC PRODUCTS CO., LTD.","1F., NO.1, LN. 72, BAOYANG E. ST., SANMIN DIST., KAOHSIUNG CITY 80770","Fishing Entity of Taiwan","EXHIBITION AQUATIC PRODUCTS CO., LTD.","1F., NO.1, LN. 72, BAOYANG E. ST., SANMIN DIST., KAOHSIUNG CITY 80770","Fishing Entity of Taiwan",,"14 Apr 2025","31 Dec 2025"
FV6042,Fishing,"PELANGI SAMUDRA 3",,Indonesia,Indonesia,YEB4916,"78 NO.2580/PD",8527717,78.00,Longline,LL,23.16,LOA,"HASANA KARYA, PT.","JL. IKAN TUNA RAYA BARAT IV, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"HASANA KARYA, PT.","JL. IKAN TUNA RAYA BARAT IV, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"10 Apr 2025","31 Dec 2025"
FV6041,Fishing,"PELANGI SAMUDRA - 2",,Indonesia,Indonesia,YEB4461,"66 NO.2579/PD",8527705,66.00,Longline,LL,23.24,LOA,"HASANA KARYA, PT.","JL. IKAN TUNA RAYA BARAT IV, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"HASANA KARYA, PT.","JL. IKAN TUNA RAYA BARAT IV, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"10 Apr 2025","31 Dec 2025"
FV6297,Fishing,"CAPE CHALLENGER",STARFISH,"South Africa","South Africa",ZR4802,350709,7385289,148.69,Longline,LL,27.73,LOA,"CAPE CHALLENGER (PTY) LTD","SPACES, 1 BRIDGEWAYS PRECINCT, CENTURY CITY, CAPE TOWN, 7441","South Africa","CAPE CHALLENGER (PTY) LTD","SPACES, 1 BRIDGEWAYS PRECINCT, CENTURY CITY, CAPE TOWN, 7441","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV4613,Fishing,"SEAWIN SAPPHIRE",,"South Africa","South Africa",ZR8313,10719,9305415,151.00,Longline,LL,24.4,LOA,"WINN WINN FISHING","JETTY NO 3, HARBOUR ROAD, HOUT BAY HARBOUR, HOUT BAY, CAPE TOWN","South Africa","BREAKWATER PRODUCTS PTY LTD","MAZARS HOURSE RAIL TO ROAD, GRAND MOORINGS PRECICT, CENTURY CITY, CAPE TOWN","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV5312,Fishing,"SEAWIN RUBY","VIKING RUBY","South Africa","South Africa",ZR8020,10734,9305439,151.00,Longline,LL,24.4,LOA,"WINN WINN FISHING","JETTY NO 3, HARBOUR ROAD, HOUT BAY HARBOUR, HOUT BAY, CAPE TOWN","South Africa","BREAKWATER PRODUCTS PTY LTD","MAZARS HOURSE RAIL TO ROAD, GRAND MOORINGS PRECICT, CENTURY CITY, CAPE TOWN","South Africa",No,"01 Mar 2025","28 Feb 2026"
CV6277,Carrier,"GOUTA MARU",,Japan,Japan,7JUZ,142469,9746827,4865.00,"Transhipment/carrier vessels",,104.2,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,,"01 Mar 2025","28 Feb 2026"
CV7736,Carrier,"KENTA MARU",,Japan,Japan,7KBJ,143090,9788772,5846.00,"Transhipment/carrier vessels",,122.2,LOA,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,,"01 Mar 2025","28 Feb 2026"
FV6673,Fishing,"OCEAN CREST",,"South Africa","South Africa",ZS4336,29903,8744614,117.33,Longline,LL,23.15,LOA,"TWO BOYS FISHING CC","88 LADIES MILE ROAD, MEADOWRIDGE","South Africa","TWO BOYS FISHING CC","88 LADIES MILE ROAD, MEADOWRIDGE","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV6558,Fishing,HOOKED,"SUIRAM VH","South Africa","South Africa",ZR3559,10507,8569662,64.36,Longline,LL,22,LOA,"TWO OCEANS TUNA (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa","TWO OCEANS TUNA (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV6423,Fishing,"OCEAN WANDERER",,"South Africa","South Africa",ZR9554,11622,9819234,128.81,Longline,LL,23.15,LOA,"SAILORS JOY FISHING (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa","SAILORS JOY FISHING (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV6590,Fishing,"OCEAN HERCULES",,"South Africa","South Africa",ZR6311,11904,9881990,198.40,Longline,LL,26.4,LOA,"SAILORS JOY FISHING (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa","SAILORS JOY FISHING (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV4265,Fishing,ATU-S,,"South Africa","South Africa",ZR2884,10110,8114479,199.40,Longline,LL,28.73,LOA,"ATU-S FISHING (PTY) LTD","88 LADIES MILE ROAD, MEADOWRIDGE","South Africa","ATU-S FISHING (PTY) LTD","88 LADIES MILE ROAD, MEADOWRIDGE","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV6667,Fishing,TIMOR,,"South Africa","South Africa",ZR7948,12101,7505047,213.45,Longline,LL,31.82,LOA,"SAILORS JOY FISHING (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa","SAILORS JOY FISHING (PTY) LTD","30 STRELITZIA STREET, GORDONS BAY, 7140","South Africa",No,"01 Mar 2025","28 Feb 2026"
FV4282,Fishing,ACTIVE,,"South Africa","South Africa",ZR6054,19302,8623511,150.58,Longline,LL,29.9,LOA,"ESTRELA DO MAR FISHING","88 LADIES MILE DRIVE, MEADOWRIDGE, 7800","South Africa","ESTRELA DO MAR FISHING","88 LADIES MILE DRIVE, MEADOWRIDGE, 7800","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
