SENDER,FLAG,IRCS,NAME,IMO_NUMBER,EXT_MARK,TYPE,TONNAGE,LENGTH,POWER,AUTHORISED,SPECIES,STARTS,ENDS
FRO,FRO,XPWM,VesturVardi,9841562,VA0214,MTS,"LC 228","OA 41","KW 1326",Yes,MAC,06-FEB-25,31-DEC-25
FRO,FRO,XPWM,VesturVardi,9841562,VA0214,MTS,"LC 228","OA 41","KW 1326",Yes,HER,06-FEB-25,31-DEC-25
FRO,FRO,XPWM,VesturVardi,9841562,VA0214,MTS,"LC 228","OA 41","KW 1326",Yes,WHB,06-FEB-25,31-DEC-25
FRO,FRO,XPXP,"Trondur i Gotu",9279238,FD0175,MTS,"LC 2790","OA 76","KW 8000",Yes,MAC,02-FEB-25,31-DEC-25
FRO,FRO,XPXP,"Trondur i Gotu",9279238,FD0175,MTS,"LC 2790","OA 76","KW 8000",Yes,WHB,02-FEB-25,31-DEC-25
FRO,FRO,XPXP,"Trondur i Gotu",9279238,FD0175,MTS,"LC 2790","OA 76","KW 8000",Yes,HER,02-FEB-25,31-DEC-25
FRO,FRO,XPYG,Nordborg,9404247,KG0689,MTS,"LC 5192","OA 74","KW 6005",Yes,HER,02-FEB-25,31-DEC-25
FRO,FRO,XPYG,Nordborg,9404247,KG0689,MTS,"LC 5192","OA 74","KW 6005",Yes,MAC,02-FEB-25,31-DEC-25
FRO,FRO,XPYG,Nordborg,9404247,KG0689,MTS,"LC 5192","OA 74","KW 6005",Yes,WHB,02-FEB-25,31-DEC-25
FRO,FRO,ow2169,Hogaberg,9975739,"FD 110",MTS,"LC 4354","OA 88","KW 7200",Yes,WHB,06-FEB-25,31-DEC-25
FRO,FRO,ow2169,Hogaberg,9975739,"FD 110",MTS,"LC 4354","OA 88","KW 7200",Yes,HER,06-FEB-25,31-DEC-25
FRO,FRO,ow2169,Hogaberg,9975739,"FD 110",MTS,"LC 4354","OA 88","KW 7200",Yes,MAC,06-FEB-25,31-DEC-25
FRO,FRO,OW2006,Vesturbugvin,9020986,VN0459,MTS,"LC 906","OA 271","KW 1370",Yes,MAC,06-FEB-25,31-DEC-25
FRO,FRO,OW2006,Vesturbugvin,9020986,VN0459,MTS,"LC 906","OA 271","KW 1370",Yes,HER,06-FEB-25,31-DEC-25
FRO,FRO,XPRO,Ango,9171034,TG752,TT,"LC 1776","OA 60","KW 4320",Yes,HER,01-FEB-25,31-DEC-25
FRO,FRO,XPRO,Ango,9171034,TG752,TT,"LC 1776","OA 60","KW 4320",Yes,MAC,01-FEB-25,31-DEC-25
FRO,FRO,XPRD,Birita,9235397,"TN 132",MTS,"LC 1988","OA 67","KW 5500",Yes,MAC,31-JAN-25,31-DEC-25
FRO,FRO,XPRD,Birita,9235397,"TN 132",MTS,"LC 1988","OA 67","KW 5500",Yes,HER,31-JAN-25,31-DEC-25
FRO,FRO,XPRD,Birita,9235397,"TN 132",MTS,"LC 1988","OA 67","KW 5500",Yes,WHB,31-JAN-25,31-DEC-25
FRO,FRO,XPQE,Eivinvd,8619522,VA0132,LL,"LC 656","OA 41","KW 1325",Yes,HER,31-JAN-25,31-DEC-25
FRO,FRO,XPQE,Eivinvd,8619522,VA0132,LL,"LC 656","OA 41","KW 1325",Yes,MAC,31-JAN-25,31-DEC-25
FRO,FRO,XPQE,Eivinvd,8619522,VA0132,LL,"LC 656","OA 41","KW 1325",Yes,WHB,31-JAN-25,31-DEC-25
FRO,FRO,XPQE,Eivinvd,8619522,VA0132,LL,"LC 656","OA 41","KW 1325",Yes,XDS,31-JAN-25,31-DEC-25
FRO,FRO,XPKF,"Tummas T",9255232,,MTS,"LC 1514","OA 64","KW 3460",Yes,HER,31-JAN-25,31-DEC-25
FRO,FRO,XPKF,"Tummas T",9255232,,MTS,"LC 1514","OA 64","KW 3460",Yes,WHB,31-JAN-25,31-DEC-25
FRO,FRO,XPKF,"Tummas T",9255232,,MTS,"LC 1514","OA 64","KW 3460",Yes,MAC,31-JAN-25,31-DEC-25
FRO,FRO,OW2416,"Finnur Fridi",9960576,"FD 86",MTS,"LC 4229","OA 83","KW 7320",Yes,HER,29-JAN-25,31-DEC-25
FRO,FRO,OW2416,"Finnur Fridi",9960576,"FD 86",MTS,"LC 4229","OA 83","KW 7320",Yes,MAC,29-JAN-25,31-DEC-25
FRO,FRO,OW2416,"Finnur Fridi",9960576,"FD 86",MTS,"LC 4229","OA 83","KW 7320",Yes,WHB,29-JAN-25,31-DEC-25
FRO,FRO,OW2006,Vesturbugvin,9020986,VN0459,MTS,"LC 906","OA 271","KW 1370",Yes,WHB,06-FEB-25,31-DEC-25
FRO,FRO,XPRO,Ango,9171034,TG752,TT,"LC 1776","OA 60","KW 4320",Yes,WHB,01-FEB-25,31-DEC-25
FRO,FRO,OW2400,Fagraberg,9184641,FD1210,MTS,"LC 2832","OA 82","KW 5520",Yes,REB,06-JAN-25,31-DEC-25
FRO,FRO,OW2400,Fagraberg,9184641,FD1210,MTS,"LC 2832","OA 82","KW 5520",Yes,HER,06-JAN-25,31-DEC-25
FRO,FRO,OW2400,Fagraberg,9184641,FD1210,MTS,"LC 2832","OA 82","KW 5520",Yes,MAC,06-JAN-25,31-DEC-25
FRO,FRO,OW2400,Fagraberg,9184641,FD1210,MTS,"LC 2832","OA 82","KW 5520",Yes,WHB,06-JAN-25,31-DEC-25
FRO,FRO,OW2399,"Arctic Viking",8517437,VN0123,TTP,"LC 1720","OA 58","KW 2758",Yes,PRA,06-JAN-25,31-DEC-25
FRO,FRO,OW2399,"Arctic Viking",8517437,VN0123,TTP,"LC 1720","OA 58","KW 2758",Yes,XDS,06-JAN-25,31-DEC-25
FRO,FRO,OW2399,"Arctic Viking",8517437,VN0123,TTP,"LC 1720","OA 58","KW 2758",Yes,REB,06-JAN-25,31-DEC-25
FRO,FRO,OW2150,Gadus,9907067,"KG 180",TTF,"LC 5997","OA 88","KW 7320",Yes,XDS,06-JAN-25,31-DEC-25
FRO,FRO,OW2150,Gadus,9907067,"KG 180",TTF,"LC 5997","OA 88","KW 7320",Yes,REB,06-JAN-25,31-DEC-25
FRO,FRO,OW2150,Gadus,9907067,"KG 180",TTF,"LC 5997","OA 88","KW 7320",Yes,PRA,06-JAN-25,31-DEC-25
FRO,FRO,OW2087,Akraberg,9909845,FD0010,TTP,"LC 4305","OA 84","KW 6000",Yes,XDS,06-JAN-25,31-DEC-25
FRO,FRO,OW2087,Akraberg,9909845,FD0010,TTP,"LC 4305","OA 84","KW 6000",Yes,REB,06-JAN-25,31-DEC-25
FRO,FRO,OW2087,Akraberg,9909845,FD0010,TTP,"LC 4305","OA 84","KW 6000",Yes,PRA,06-JAN-25,31-DEC-25
FRO,FRO,OW2050,Nordingur,9281633,OW2050,MTS,"LC 2017","OA 61","KW 4500",Yes,HER,06-JAN-25,31-DEC-25
FRO,FRO,OW2050,Nordingur,9281633,OW2050,MTS,"LC 2017","OA 61","KW 4500",Yes,WHB,06-JAN-25,31-DEC-25
FRO,FRO,OW2050,Nordingur,9281633,OW2050,MTS,"LC 2017","OA 61","KW 4500",Yes,MAC,06-JAN-25,31-DEC-25
FRO,FRO,OW2041,Vestmenningur,9147150,VN0092,MTS,"LC 2060","OA 73","KW 4920",Yes,MAC,06-JAN-25,31-DEC-25
FRO,FRO,OW2041,Vestmenningur,9147150,VN0092,MTS,"LC 2060","OA 73","KW 4920",Yes,HER,06-JAN-25,31-DEC-25
FRO,FRO,OW2041,Vestmenningur,9147150,VN0092,MTS,"LC 2060","OA 73","KW 4920",Yes,WHB,06-JAN-25,31-DEC-25
FRO,FRO,XPXL,Enniberg,8816974,TN0180,TTP,"LC 2578","OA 70","KW 3600",Yes,PRA,03-JAN-25,31-DEC-25
FRO,FRO,XPXL,Enniberg,8816974,TN0180,TTP,"LC 2578","OA 70","KW 3600",Yes,XDS,03-JAN-25,31-DEC-25
FRO,FRO,XPXL,Enniberg,8816974,TN0180,TTP,"LC 2578","OA 70","KW 3600",Yes,REB,03-JAN-25,31-DEC-25
FRO,FRO,OW2023,Gotunes,9809265,"FD 950",MTS,"LC 4624","OA 90","KW 7700",Yes,HER,06-JAN-25,31-DEC-25
FRO,FRO,OW2023,Gotunes,9809265,"FD 950",MTS,"LC 4624","OA 90","KW 7700",Yes,WHB,06-JAN-25,31-DEC-25
FRO,FRO,OW2023,Gotunes,9809265,"FD 950",MTS,"LC 4624","OA 90","KW 7700",Yes,MAC,06-JAN-25,31-DEC-25
FRO,FRO,OW2012,RAN,8506830,"TN 724",MTS,"LC 678","OA 58","KW 2999",Yes,WHB,06-JAN-25,31-DEC-25
FRO,FRO,OW2012,RAN,8506830,"TN 724",MTS,"LC 678","OA 58","KW 2999",Yes,HER,06-JAN-25,31-DEC-25
FRO,FRO,OW2012,RAN,8506830,"TN 724",MTS,"LC 678","OA 58","KW 2999",Yes,MAC,06-JAN-25,31-DEC-25
FRO,FRO,OW2202,KAPPIN,7302378,VN0668,TTF,"LC 776","OA 54","KW 1680",Yes,REB,06-JAN-25,31-DEC-25
FRO,FRO,OW2202,KAPPIN,7302378,VN0668,TTF,"LC 776","OA 54","KW 1680",Yes,PRA,06-JAN-25,31-DEC-25
FRO,FRO,OW2202,KAPPIN,7302378,VN0668,TTF,"LC 776","OA 54","KW 1680",Yes,XDS,06-JAN-25,31-DEC-25
GBR,GBR,MSUG9,AQUARIUS,9119672,BF89,,"LC 189","OA 21","KW 634",Yes,HAD,22-JAN-25,31-DEC-25
GBR,GBR,MMNS9,SERENITY,8792219,BF24,,"LC 158","OA 21","KW 328",Yes,HAD,22-JAN-25,31-DEC-25
GBR,GBR,MLSF4,TRANSCEND,9505792,BF61,,"LC 210","OA 24","KW 441",Yes,HAD,07-JAN-25,31-DEC-25
GBR,GBR,MIZV6,"WESTRA FJORD",9897157,K193,,"LC 421","OA 28","KW 719",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MIZV6,"WESTRA FJORD",9897157,K193,,"LC 421","OA 28","KW 719",Yes,GHL,02-JAN-25,31-DEC-25
GBR,GBR,MIZV6,"WESTRA FJORD",9897157,K193,,"LC 421","OA 28","KW 719",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MFYP7,"FRANK BONEFAAS",9074951,H72,,"LC 6562","OA 120","KW 6300",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,MFYP7,"FRANK BONEFAAS",9074951,H72,,"LC 6562","OA 120","KW 6300",Yes,MAC,02-JAN-25,31-DEC-25
GBR,GBR,ZNDR4,"ADVENTURER II",8972522,INS8,,"LC 399","OA 28","KW 745",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,ZNYO6,TRANQUILLITY,8972728,BF7,,"LC 212","OA 24","KW 555",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,ZNYO6,TRANQUILLITY,8972728,BF7,,"LC 212","OA 24","KW 555",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,2IRY7,"STEFANIE M",9334337,N718,,"LC 834","OA 51","KW 2999",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,2IRY7,"STEFANIE M",9334337,N718,,"LC 834","OA 51","KW 2999",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,2BYB5,BERYL,9462861,BF440,,"LC 478","OA 29","KW 1060",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,2BYB5,BERYL,9462861,BF440,,"LC 478","OA 29","KW 1060",Yes,GHL,02-JAN-25,31-DEC-25
GBR,GBR,2BYB5,BERYL,9462861,BF440,,"LC 478","OA 29","KW 1060",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MJDW2,BRISCA,8701026,UL37,,"LC 302","OA 27","KW 619",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,GCFW,"GENESIS II",6819623,A100,,"LC 263","OA 38","KW 500",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MRQT2,"MONTE MAZANTEU",9014523,FD521,,"LC 200","OA 27","KW 298",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MCBV5,"ROCCO REED",9622382,N292,,"LC 267","OA 28","KW 578",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MPHS9,"AYR DAWN 2",8731899,A523,,"LC 326","OA 34","KW 734",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MGGT9,GENESIS,7617010,A19,,"LC 298","OA 36","KW 492",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MRUB7,"O GENITA",7512234,FD529,,"LC 315","OA 33","KW 736",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MRDM4,"ALANNAH RILEY",9782390,N400,,"LC 280","OA 29","KW 709",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MCKL8,SERENE,9810458,LK297,,"LC 4141","OA 82","KW 7200",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,MCKL8,SERENE,9810458,LK297,,"LC 4141","OA 82","KW 7200",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,2AJS2,QUANTUS,9417294,PD379,,"LC 2084","OA 66","KW 5772",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,2AJS2,QUANTUS,9417294,PD379,,"LC 2084","OA 66","KW 5772",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,2AJS2,QUANTUS,9417294,PD379,,"LC 2084","OA 66","KW 5772",Yes,MAC,02-JAN-25,31-DEC-25
GBR,GBR,2GBQ9,NEREUS,9634036,INS172,,"LC 183","OA 19","KW 448",No,,,
GBR,GBR,MIPL8,"NJORD VENTURE",8812033,INS291,,"LC 262","OA 26","KW 735",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MIPL8,"NJORD VENTURE",8812033,INS291,,"LC 262","OA 26","KW 735",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MIPL8,"NJORD VENTURE",8812033,INS291,,"LC 262","OA 26","KW 735",Yes,GHL,02-JAN-25,31-DEC-25
GBR,GBR,MZHE5,"HARVEST HOPE",9177014,PD120,,"LC 604","OA 34","KW 1320",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MZHE5,"HARVEST HOPE",9177014,PD120,,"LC 604","OA 34","KW 1320",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MKJF6,EMULATOR,8717491,FR500,,"LC 227","OA 24","KW 492",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MEPG5,ZEPHYR,9841988,LK394,,"LC 2934","OA 75","KW 6960",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,MEPG5,ZEPHYR,9841988,LK394,,"LC 2934","OA 75","KW 6960",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,ZQHW9,AVRELLA,8965426,LK174,,"LC 223","OA 24","KW 593",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,ZQHW9,AVRELLA,8965426,LK174,,"LC 223","OA 24","KW 593",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MACW7,ANTARES,9783253,LK419,,"LC 2974","OA 75","KW 6600",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,MACW7,ANTARES,9783253,LK419,,"LC 2974","OA 75","KW 6600",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,MMFK9,"SUFFOLK CHIEFTAIN",6815304,LT372,,"LC 390","OA 38","KW 741",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MQMQ8,"MAR BLANCO",8715730,FD85,,"LC 349","OA 40","KW 485",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MRXG9,UDRA,8615461,FD526,,"LC 355","OA 35","KW 640",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,GDNU,"EDER SANDS",7326051,UL257,,"LC 307","OA 38","KW 746",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MEEY,BRISAN,5105142,FD9,,"LC 286","OA 36","KW 529",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MBMB8,VOYAGER,9794874,N905,,"LC 4290","OA 86","KW 7200",Yes,MAC,02-JAN-25,31-DEC-25
GBR,GBR,MBMB8,VOYAGER,9794874,N905,,"LC 4290","OA 86","KW 7200",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,MBMB8,VOYAGER,9794874,N905,,"LC 4290","OA 86","KW 7200",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,REB,02-JUL-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,GHL,02-JAN-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,RED,02-JUL-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,PRA,02-JAN-25,31-DEC-25
GBR,GBR,MACF3,KIRKELLA,9808405,H7,,"LC 3976","OA 81","KW 3600",Yes,MAC,02-JAN-25,31-DEC-25
GBR,GBR,MYOO6,ANDROMEDA,9191084,BF437,,"LC 201","OA 26","HP 492",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MYOO6,ANDROMEDA,9191084,BF437,,"LC 201","OA 26","HP 492",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MYCC9,"ATLANTIC CHALLENGE",9169586,PD197,,"LC 611","OA 40","KW 1960",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MYCC9,"ATLANTIC CHALLENGE",9169586,PD197,,"LC 611","OA 40","KW 1960",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MQNZ8,"OCEAN ENDEAVOUR",9044346,PD625,,"LC 370","OA 31","KW 749",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MQNZ8,"OCEAN ENDEAVOUR",9044346,PD625,,"LC 370","OA 31","KW 749",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MBXL9,NORLAN,9788198,BF362,,"LC 306","OA 28","KW 578",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MFPH4,"GOOD HOPE",9875771,FR891,,"LC 273","OA 27","KW 492",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MFPH4,"GOOD HOPE",9875771,FR891,,"LC 273","OA 27","KW 492",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MJUV9,VALHALLA,9910820,FR268,,"LC 290","OA 28","KW 708",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MJUV9,VALHALLA,9910820,FR268,,"LC 290","OA 28","KW 708",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MGQI9,"LUNAR BOW",9842009,PD265,,"LC 3439","OA 80","KW 6100",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,MGQI9,"LUNAR BOW",9842009,PD265,,"LC 3439","OA 80","KW 6100",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,MGQI9,"LUNAR BOW",9842009,PD265,,"LC 3439","OA 80","KW 6100",Yes,MAC,02-JAN-25,31-DEC-25
GBR,GBR,MCGB2,RESEARCH,9825386,LK62,,"LC 3862","OA 80","KW 7320",Yes,WHB,02-JAN-25,31-DEC-25
GBR,GBR,MCGB2,RESEARCH,9825386,LK62,,"LC 3862","OA 80","KW 7320",Yes,HER,02-JAN-25,31-DEC-25
GBR,GBR,MNMS9,VENTURE,9020390,LK641,,"LC 227","OA 25","KW 629",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MNMS9,VENTURE,9020390,LK641,,"LC 227","OA 25","KW 629",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MLMT7,COPIOUS,9925071,LK985,,"LC 300","OA 25","KW 588",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MLMT7,COPIOUS,9925071,LK985,,"LC 300","OA 25","KW 588",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MMEN9,PROLIFIC,9925083,LK986,,"LC 300","OA 25","HP 588",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MMEN9,PROLIFIC,9925083,LK986,,"LC 300","OA 25","HP 588",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MIMD5,COURAGEOUS,9897145,LK470,,"LC 382","OA 28","KW 749",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MIMD5,COURAGEOUS,9897145,LK470,,"LC 382","OA 28","KW 749",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MGYC6,"OCEAN CHALLENGE",9859686,LK253,,"LC 367","OA 29","KW 738",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MGYC6,"OCEAN CHALLENGE",9859686,LK253,,"LC 367","OA 29","KW 738",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MLEY5,ANGELINA,8821022,LK377,,"LC 244","OA 26","KW 625",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MLEY5,ANGELINA,8821022,LK377,,"LC 244","OA 26","KW 625",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MMSP6,"VENTURE IV",9948140,BF326,,"LC 698","OA 35","KW 1110",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MMSP6,"VENTURE IV",9948140,BF326,,"LC 698","OA 35","KW 1110",Yes,GHL,02-JAN-25,31-DEC-25
GBR,GBR,MMSP6,"VENTURE IV",9948140,BF326,,"LC 698","OA 35","KW 1110",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MLAI8,"SPARKLING STAR",9929364,UL290,,"LC 281","OA 28","KW 588",Yes,COD,02-JAN-25,31-DEC-25
GBR,GBR,MLAI8,"SPARKLING STAR",9929364,UL290,,"LC 281","OA 28","KW 588",Yes,HAD,02-JAN-25,31-DEC-25
GBR,GBR,MLAI8,"SPARKLING STAR",9929364,UL290,,"LC 281","OA 28","KW 588",Yes,GHL,02-JAN-25,31-DEC-25
GBR,GBR,MECA6,"CARINA II",9810305,BF803,,"LC 348","OA 28","KW 578",Yes,HAD,02-JAN-25,31-DEC-25
