"NPFC Vessel_id",flag_state,vessel_name,previous_name,registration_no,"Previous Registration",port_of_registry,"Previous Port(s) of Registry",imo,previous_flag,call_sign,mmsi,communication_details,vessel_type,crew,type_of_fishing_method,type_of_length,length,unit_length,type_of_depth,depth,unit_depth,type_of_beam,beam,unit_beam_depth,tonnage,tonnage_type,power_of_engine,unit_engine,fish_hold_capacity,freezer_capacity,freezer_type,unit_freezer
1319,China,"DONG YU 1538",,(ZHE)CHUANDENG(JI)(2024)FT-200009,,Zhoushan,,9881847,,BZVA6,412549014,"c-518139                     Satellite-based telephony-17497014580  Other data service/devices518139","Stick-held dip netters (NS), Hand liner vessels (LH)",44,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",72.65,Meters,,7.30,Meters,"Moulded Breadth",11.60,Meters,1699.00,"Gross Tonnage (GT)",1710.00,"Kilowatts (kW)",1476.55m³,,,
1499,China,"FENG CHENG 103",,"(ZHE)CHUAN DENG(JI)(2021)FT-200121",,Zhoushan,,8780228,,BZ8UG,412420213,"Satellite-based telephony -17498500436","Hand liner vessels (LH)",32,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",43.00,Meters,,3.90,Meters,"Moulded Breadth",8.30,Meters,498.00,"Gross Register Tonnage (GRT)",692.00,"Kilowatts (kW)",354.38m³,,,
1242,China,"FENG HUI 9",,(ZHE)CHUANDENG(JI)(2022)FT-200010,,Zhoushan,,9871945,,BZUP2,412421169,"Satelite-based telephony- 00870-773254867","Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",65.40,Meters,"Moulded Depth",6.95,Meters,"Moulded Breadth",10.80,Meters,1324.00,"Gross Register Tonnage (GRT)",1750.00,"Kilowatts (kW)",1170.25m³,,,
1386,China,"FU YUAN  YU YUN 995",,(MIN)CHUANDENG(JI)(2024FT-200058,,Fuzhou,,9887152,,BZUV9,412440687,"Satellite-based telephony-00870-7731176583","FISH CARRIERS AND REEFERS (FO)",25,,"Length Overall (LOA)",108.00,Meters,,10.50,Meters,"Moulded Breadth",17.00,Meters,5005.00,"Gross Register Tonnage (GRT)",3000.00,"Kilowatts (kW)",7151.00m³,,,
485,China,"Fu Yuan Yu 079",,(MIN)CHUANDENG(JI)(2021)FT-200035,,Fuzhou,,8551627,,BZU7V,412440423,"C: 412440423    Satellite-based Telephony: 17498504356","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",54.64,Meters,"Moulded Depth",4.75,Meters,"Moulded Breadth",10.50,Meters,1012.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1292.32m³,25,Ice,"Tons / Day"
486,China,"Fu Yuan Yu 080",,(MIN)CHUANDENG(JI)(2024)FT-200037,,Fuzhou,,8551732,,BZUN6,412440477,"C: 412440477    Satellite-based Telephony:17498504352","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",54.64,Meters,"Moulded Depth",4.75,Meters,"Moulded Breadth",10.50,Meters,1012.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1292.32m³,25,Ice,"Tons / Day"
487,China,"Fu Yuan Yu 081",,(MIN)CHUANDENG(JI)(2024)FT-200036,,Fuzhou,,8551744,,BZUN7,412440478,"C: 412440478    Satellite-based Telephony: 17498504350","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",54.64,Meters,"Moulded Depth",4.75,Meters,"Moulded Breadth",10.50,Meters,1010.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1292.32m³,25,Ice,"Tons / Day"
488,China,"Fu Yuan Yu 082",,(MIN)CHUANDENG(JI)(2024)FT-200035,,Fuzhou,,8551756,,BZUN8,412440479,"C: 412440479    Satellite-based Telephony:17498504343","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",54.64,Meters,"Moulded Depth",4.75,Meters,"Moulded Breadth",10.50,Meters,1012.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1292.32m³,25,Ice,"Tons / Day"
489,China,"Fu Yuan Yu 083",,(MIN)CHUANDENG(JI)(2021)FT-200036,,Fuzhou,,8551768,,BZU8V,412440424,"C: 412440424    Satellite-based Telephony:17498504341","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",54.64,Meters,"Moulded Depth",4.75,Meters,"Moulded Breadth",10.50,Meters,1012.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1292.32m³,25,Ice,"Tons / Day"
490,China,"Fu Yuan Yu 085",,(MIN)CHUANDENG(JI)(2025)FT-200004,,Fuzhou,,8551770,,BZUN9,412440481,"C: 412440481    Satellite-based Telephony: 17498504335","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",54.64,Meters,"Moulded Depth",4.75,Meters,"Moulded Breadth",10.50,Meters,1012.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1292.32m³,25,Ice,"Tons / Day"
1188,China,"FU YUAN YU 196",,(MIN)CHUANDENG(JI)(2023)FT-200050,,Fuzhou,,9861108,,BZU7S,412440654,"C-441202761  Satellite-based telephony-0086-17498503146","Stick-held dip netters (NS), Hand liner vessels (LH)",58,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)","Registered Length",69.90,Meters,,7.40,Meters,"Moulded Breadth",11.30,Meters,1413.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1420.00m³,,,
1187,China,"FU YUAN YU 197",,(MIN)CHUANDENG(JI)(2023)FT-200049,,Fuzhou,,9861134,,BZU8S,412440655,"c-441202762  Satellite-based telephony0086-17498503147","Stick-held dip netters (NS), Hand liner vessels (LH)",58,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)","Registered Length",69.90,Meters,,7.40,Meters,"Moulded Breadth",11.30,Meters,1413.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1420.00m³,,,
584,China,"FU YUAN YU 198",,(MIN)CHUANDENG(JI)(2023)FT-200048,,Fuzhou,,8776277,,BZU1M,412440384,"C:441202721  Satellite-based Telephony: 0086-17498504002","Stick-held dip netters (NS), Hand liner vessels (LH)",58,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",69.90,Meters,"Moulded Depth",7.40,Meters,"Moulded Breadth",11.30,Meters,1408.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1420.00m³,100,"Air Blast","Tons / Day"
585,China,"FU YUAN YU 199",,(MIN)CHUANDENG(JI)(2023)FT-200047,,Fuzhou,,8776801,,BVTG7,412440513,"C: 441201958  Satellite-based Telephony: 0086-17497050479","Stick-held dip netters (NS), Hand liner vessels (LH)",58,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",69.90,Meters,"Moulded Depth",7.40,Meters,"Moulded Breadth",11.30,Meters,1408.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1420.00m³,100,Ice,"Tons / Day"
460,China,"Fu Yuan Yu 601",,"(MIN)CHUAN DENG(JI)(2023)FT-200025",,Fuzhou,,8557504,,BZU9E,412440243,"C: 412440243  Satellite-based Telephony: +86-17498501957","Purse seiners (SP)",21,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
461,China,"Fu Yuan Yu 602",,(MIN)CHUANDENG(JI)(2023)FT-200026,,Fuzhou,,8557516,,BZU1F,412440244,"C: 412440244  Satellite-based Telephony: +86-17498501956","Purse seiners (SP)",21,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
462,China,"Fu Yuan Yu 603",,(MIN)CHUANDENG(JI)(2023)FT-200027,,Fuzhou,,8557528,,BZU2F,412440245,"C: 412440245  Satellite-based Telephony: +86-17498501330","Purse seiners (SP)",20,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
463,China,"Fu Yuan Yu 605",,(MIN)CHUANDENG(JI)(2023)FT-200028,,Fuzhou,,8557530,,BZU3F,412440246,"C: 412440246  Satellite-based Telephony: +86-17498501958","Purse seiners (SP)",22,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
464,China,"Fu Yuan Yu 606",,(MIN)CHUANDENG(JI)(2023)FT-200029,,Fuzhou,,8557542,,BZU4F,412440247,"C: 412440247  Satellite-based Telephony: +86-17498501329","Purse seiners (SP)",21,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
465,China,"Fu Yuan Yu 607",,(MIN)CHUANDENG(JI)(2023)FT-200030,,Fuzhou,,8557554,,BZU5F,412440248,"C: 412440248  Satellite-based Telephony: +86-17498501959","Purse seiners (SP)",23,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
466,China,"Fu Yuan Yu 608",,(MIN)CHUANDENG(JI)(2023)FT-200031,,Fuzhou,,8557566,,BZU6F,412440249,"C: 412440249  Satellite-based Telephony: +86-17498501960","Purse seiners (SP)",21,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
467,China,"Fu Yuan Yu 609",,(MIN)CHUANDENG(JI)(2023)FT-200032,,Fuzhou,,8557578,,BZU7F,412440251,"C: 412440251  Satellite-based Telephony: +86-17498501961","Purse seiners (SP)",22,"Purse seines (PS)","Length Overall (LOA)",52.07,Meters,"Moulded Depth",4.62,Meters,"Moulded Breadth",9.80,Meters,857.00,"Gross Tonnage (GT)",1104.00,"Kilowatts (kW)",1066.72m³,370.67,Ice,"Cubic Metres"
494,China,"Fu Yuan Yu 658",,(MIN)CHUANDENG(JI)(2023)FT-200011,,Fuzhou,,8549210,,BVKQ8,412440241,"C: 441204836  Satellite-based Telephony: 05808106201","Purse seiners (SP)",23,"Purse seines (PS)","Length Overall (LOA)",45.10,Meters,"Moulded Depth",4.30,Meters,"Moulded Breadth",9.50,Meters,681.00,"Gross Register Tonnage (GRT)",1498.00,"Kilowatts (kW)",473.35m³,30,"Air Blast","Tons / Day"
495,China,"Fu Yuan Yu 659",,(MIN)CHUANDENG(JI)(2023)FT-200010,,Fuzhou,,8549222,,BVKR8,412440242,"C: 441204837  Satellite-based Telephony:05808106206","Purse seiners (SP)",23,"Purse seines (PS)","Length Overall (LOA)",45.10,Meters,"Moulded Depth",4.30,Meters,"Moulded Breadth",9.50,Meters,681.00,"Gross Register Tonnage (GRT)",1498.00,"Kilowatts (kW)",473.35m³,30,"Air Blast","Tons / Day"
496,China,"Fu Yuan Yu 660",,(MIN)CHUANDENG(JI)(2024)FT-200025,,Fuzhou,,8549349,,BVGL8,412440482,"C:441204840  Satelite-based Telephony: 05808106202","Purse seiners (SP)",30,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1126.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1289.27m³,40,"Air Blast","Tons / Day"
497,China,"Fu Yuan Yu 661",,(MIN)CHUANDENG(JI)(2024)FT-200024,,Fuzhou,,8549351,,BVJI8,412440483,"C: 441204841  Satelite-based Telephony: 05808106221","Purse seiners (SP)",30,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1126.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1289.27m³,25,"Air Blast","Tons / Day"
498,China,"Fu Yuan Yu 662",,(MIN)CHUANDENG(JI)(2024)FT-200023,,Fuzhou,,8549363,,BVJJ8,412440484,"C: 441204842  Satelite-based Telephony: 05808106205","Purse seiners (SP)",30,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1126.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1289.27m³,40,"Air Blast","Tons / Day"
499,China,"Fu Yuan Yu 663",,(MIN)CHUANDENG(JI)(2024)FT-200022,,Fuzhou,,8549375,,BVJK8,412440485,"C: 441204843  Satelite-based Telephony: 05808106219","Purse seiners (SP)",30,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1126.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1289.27m³,40,"Air Blast","Tons / Day"
500,China,"Fu Yuan Yu 664",,(MIN)CHUANDENG(JI)(2024)FT-200021,,Fuzhou,,8549387,,BVJL8,412440486,"C: 441204844  Satelite-based Telephony: 05808106187","Purse seiners (SP)",30,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1126.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1289.27m³,40,"Air Blast","Tons / Day"
501,China,"Fu Yuan Yu 665",,(MIN)CHUANDENG(JI)(2024)FT-200020,,Fuzhou,,8549399,,BVJM8,412440487,"C: 441204845  Satelite-based Telephony: 05808106203","Purse seiners (SP)",30,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1126.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",1289.27m³,40,"Air Blast","Tons / Day"
502,China,"Fu Yuan Yu 666",,(MIN)CHUANDENG(JI)(2023)FT-200009,,Fuzhou,,8549234,,BVKS8,412440222,"C:441204838  Satelite-based Telephony:05808102975","Purse seiners (SP)",23,"Purse seines (PS)","Length Overall (LOA)",50.52,Meters,"Moulded Depth",4.60,Meters,"Moulded Breadth",9.80,Meters,830.00,"Gross Register Tonnage (GRT)",1498.00,"Kilowatts (kW)",674.38m³,30,"Air Blast","Tons / Day"
503,China,"Fu Yuan Yu 667",,(MIN)CHUANDENG(JI)(2023)FT-200008,,Fuzhou,,8549246,,BVKT8,412440223,"C: 441204839  Satelite-based Telephony: 05808106218","Purse seiners (SP)",23,"Purse seines (PS)","Length Overall (LOA)",50.52,Meters,"Moulded Depth",4.60,Meters,"Moulded Breadth",9.80,Meters,830.00,"Gross Register Tonnage (GRT)",1498.00,"Kilowatts (kW)",674.38m³,30,"Air Blast","Tons / Day"
505,China,"Fu Yuan Yu 672",,"(MIN)CHUAN  DENG (JI)(2024)FT-200019",,Fuzhou,,8548539,,BVKV5,412440371,"C: 441202556  Satelite-based Telephony: 0580-5856318","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1128.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",981.21m³,,,
506,China,"Fu Yuan Yu 673",,"(MIN)CHUAN  DENG (JI)(2024)FT-200018",,Fuzhou,,8548541,,BVKW5,412440369,"C:441202557  Satelite-based Telephony:0580-5858655","Purse seiners (SP)",30,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1128.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",981.21m³,,,
507,China,"Fu Yuan Yu 675",,"(MIN)CHUAN  DENG (JI)(2024)FT-200017",,Fuzhou,,8548553,,BVKX5,412440368,"c:441202558  Satelite-based Telephony:0580-5856319","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1128.00,"Gross Tonnage (GT)",2100.00,"Kilowatts (kW)",981.21m³,,,
508,China,"Fu Yuan Yu 676",,"(MIN)CHUAN  DENG (JI)(2024)FT-200016",,Fuzhou,,8548565,,BVKY5,412440367,"C:441202559  Satelite-based Telephony:0580-5858653","Purse seiners (SP)",29,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1128.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",981.21m³,,,
509,China,"Fu Yuan Yu 677",,"(MIN)CHUAN  DENG (JI)(2024)FT-200015",,Fuzhou,,8548577,,BVKZ5,412440366,"C:441203320  Satelite-based Telephony: 0580-5856324","Purse seiners (SP)",29,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1128.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",981.21m³,,,
510,China,"Fu Yuan Yu 678",,"(MIN)CHUAN  DENG (JI)(2024)FT-200014",,Fuzhou,,8548589,,BVLA5,412440365,"C:441203321  Satelite-based Telephony: 0580-5858613","Purse seiners (SP)",29,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1128.00,"Gross Register Tonnage (GRT)",2100.00,"Kilowatts (kW)",981.21m³,,,
511,China,"Fu Yuan Yu 686",,"(MIN)CHUAN  DENG (JI)(2024)FT-200030",,Fuzhou,,8548591,,BVLH5,412440363,"C:441203273  Satelite-based Telephony: 0580-5856322","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1137.00,"Gross Tonnage (GT)",2100.00,"Kilowatts (kW)",980.21m³,,,
512,China,"Fu Yuan Yu 687",,"(MIN)CHUAN  DENG (JI)(2024)FT-200029",,Fuzhou,,8548606,,BVLI5,412440362,"C:441203274  Satelite-based Telephony: 0580-5858607","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1137.00,"Gross Tonnage (GT)",2100.00,"Kilowatts (kW)",980.21m³,,,
513,China,"Fu Yuan Yu 688",,"(MIN)CHUAN  DENG (JI)(2024)FT-200028",,Fuzhou,,8548618,,BVLJ5,412440361,"C:441203275  Satelite-based Telephony: 0580-5858611","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1137.00,"Gross Tonnage (GT)",2100.00,"Kilowatts (kW)",980.21m³,,,
514,China,"Fu Yuan Yu 689",,"(MIN)CHUAN  DENG (JI)(2024)FT-200027",,Fuzhou,,8548620,,BVLK5,412440359,"C:441203276  Satelite-based Telephony:  0580-5856317","Purse seiners (SP)",25,"Purse seines (PS)","Length Overall (LOA)",59.27,Meters,"Moulded Depth",4.90,Meters,"Moulded Breadth",10.80,Meters,1137.00,"Gross Tonnage (GT)",2100.00,"Kilowatts (kW)",980.21m³,,,
1740,China,"FU YUAN YU 7007",,(MIN)CHUANDENG(JI)(2021)FT-200009,,Fuzhou,,9931006,,BZU1D,412440807,"Ｃ441221776  Satelite-based telephony 05808309050","Purse seiners (SP)",37,"Purse seines (PS)","Length Overall (LOA)",61.99,Meters,"Moulded Depth",5.80,Meters,"Moulded Breadth",12.50,Meters,1596.00,"Gross Register Tonnage (GRT)",1470.00,"Kilowatts (kW)",1661.35m³,,,
1741,China,"FU YUAN YU 7008",,(MIN)CHUANDENG(JI)(2021)FT-200010,,Fuzhou,,9930997,,BZU2D,412549507,"Ｃ441221777  Satelite-based telephony05808306810","Purse seiners (SP)",37,"Purse seines (PS)","Length Overall (LOA)",61.99,Meters,"Moulded Depth",5.80,Meters,"Moulded Breadth",12.50,Meters,1596.00,"Gross Register Tonnage (GRT)",1470.00,"Kilowatts (kW)",1661.35m³,,,
1742,China,"FU YUAN YU 7009",,(MIN)CHUANDENG(JI)(2021)FT-200011,,Fuzhou,,9930868,,BZU3D,412549508,"Ｃ441221778    Satelite-based telephony05808309028","Purse seiners (SP)",37,"Purse seines (PS)","Length Overall (LOA)",61.99,Meters,"Moulded Depth",5.80,Meters,"Moulded Breadth",12.50,Meters,1596.00,"Gross Register Tonnage (GRT)",1470.00,"Kilowatts (kW)",1661.35m³,,,
1743,China,"FU YUAN YU 7010",,(MIN)CHUANDENG(JI)(2021)FT-200012,,Fuzhou,,9930870,,BZU4D,412549509,"Ｃ441221779  Satelite-based telephony05808307031","Purse seiners (SP)",37,"Purse seines (PS)","Length Overall (LOA)",61.99,Meters,"Moulded Depth",5.80,Meters,"Moulded Breadth",12.50,Meters,1596.00,"Gross Register Tonnage (GRT)",1470.00,"Kilowatts (kW)",1661.35m³,,,
