Name,"Built in Country","Built in Year","IMO Number","WCPFC ID","FFA ID","International Radio Call Sign (IRCS)",MMSI,"Registration Number",Flag,Type,"Registration Start","Registration Period","Current Status","Application Type",Registrant,"Registrant Acting As","Reason for Deregistration","Registration Number","Port of Registry","Vessel Tonnage (GRT)","Hull Material","Vessel Length (LOA)","Vessel Length (PP)","Vessel Length (RL)","Rated Speed","Normal Crew Complement","Engine Model","Total Fuel Carrying Capacity","Total Power of Main Engine or Engines","Power Unit","Fish Hold Capacity","Fish Hold Capacity Unit","Freezer Types","Refrigerant Used Type","Refrigerant Used Capacity","Previous Names","Last Radio Call Sign (IRCS)","Last Flag State Registration Number","Previous Flag","Owner Company Name","Owner Mailing Address","Operator Name","Operator Mailing Address","Vessel Master Name","Vessel Master Nationality","Fishing Master Name","Fishing Master Nationality","Recent side-view vessel photo","Recent plan-view vessel photo"
"YONG XING 1",China,2002,8749963,5164,35081,3DYB,520076000,000391,Fiji,Longline,17-Feb-2025,16-Feb-2026,Approved,"Good Standing Domestic","Yong Xing Fisheries Fiji Ltd",Owner,,000391,"SUVA PRINCESS WHARF",136.00,Steel,"34.00 Metres",,"30.45 Metres","8.00 Knots",13,DIESEL,"45.00 Kilolitres",220.00,KW,45.00,"Metric Tonnes","Refrigerated Sea Water",R22,"200.00 Kg",,,,,"YONG XING FISHERIES (FIJI) PTE  LTD","P O Box 2036 
Government Buildings
 Suva
Fiji","JULS FIJI PTE LIMITED","P O Box 2036, 
Government Buildings
 Suva
Fiji","Mai Gui",China,"Mai Gui",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/YX1%20Plan%20view.jpg
"SOLANDER VI",Japan,1981,8653176,5054,34910,3DVS,520012000,000193,Fiji,Longline,16-Feb-2025,15-Feb-2026,Approved,"Good Standing Domestic","SOLANDER (PACIFIC) LTD",Owner,,000193,"SUVA PRINCESS WHARF",102.00,Steel,"25.95 Metres",,,"11.00 Knots",10,CUMMINS,"21.00 Kilolitres",375.00,HP,13.60,"Metric Tonnes",Brine,R22,"68.10 Kg","Santa Lucia",,,"New Zealand","SOLANDER PACIFIC LIMITED","P.O.Box 178
Suva
Fiji","SOLANDER PACIFIC LIMITED","P.O.BOX 178
SUVA
FIJI","Sowane Puamau",Fiji,"Sowane Puamau",Fiji,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Sol%206%20aerial.jpg
"YONG XING 3",China,2003,8749676,5166,35079,3DXZ,520074000,000393,Fiji,Longline,01-Feb-2025,31-Jan-2026,Approved,"Good Standing Domestic","Yong Xing Fisheries Fiji Ltd",Owner,,000393,"SUVA PRINCESS WHARF",136.00,Steel,"30.45 Metres",,"30.45 Metres","8.00 Knots",13,DIESEL,"45.00 Kilolitres",220.00,KW,45.00,"Metric Tonnes","Refrigerated Sea Water",F22,"200.00 Kg",,,,,"Yong Xing Fisheries Fiji Ltd","P O Box 2036, 
Government Buildings
Suva
Fiji","JULS FIJI PTE LIMITED","P O Box 2036, 
Government Buildings
Suva
Fiji","Kim Jung Teak","Korea, Republic of","Kim Jung Teak","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/YX3%20Plan%20view.jpg
"WILL WATCH","Saint Barthélemy",1972,7225831,,37014,E5WW,518000001,C101/1,"Cook Islands",Trawler,19-Dec-2024,18-Dec-2025,Approved,"Good Standing Domestic","Sealord Group Ltd","Authorised Agent",,C101/1,AVATIU,1587.00,Steel,"75.00 Metres","68.40 Metres","73.40 Metres","11.00 Knots",45,"BRITISH POLAR","630.00 Kilolitres",2680.00,HP,450.00,"Metric Tonnes","Air Coils",R22,"2500.00 Kg","Cheung Shing",,,Panama,"United Fame Investment (CK) Ltd","1st Floor, BCI House, Avarua, Rarotonga, Cook Islands","Sealord Group Ltd","PO Box 11
Nelson 
New Zealand 7010","Raymond Armstrong","New Zealand","Raymond Armstrong","New Zealand",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Will%20Watch%20stern%20view%20at%20Port%20Louis.jpg
"SCORPION 70",Japan,1992,,1625,36788,3DN6764,520304999,003507,Fiji,Longline,15-Oct-2024,14-Oct-2025,Approved,"Good Standing Domestic","Vaerua Fishing Co., Ltd",Owner,,003507,"SUVA MUA-I-WALU WHARF",17.20,Fibreglass,"14.90 Metres",,,"10.00 Knots",9,Mitsubishi,"12.00 Kilolitres",478.00,KW,10.00,"Metric Tonnes","Refrigerated Sea Water",Glycol,"400.00 Kg",,,,,"Vaerua Fishing Co. Pte Ltd","P. O Box 300,
Suva","Vaerua Fishing Co. Pte Ltd","P. O Box 300,
SUVA
Fiji","Ravuama Koroi Bale",Fiji,"Ravuama Koroi Bale",Fiji,,https://vessel-register.ffa.int/sites/default/files/vsr_files/SC%2070-%20Top.jpg
"WINSTAR 1",China,2002,9274422,5043,34988,3DXG,520033000,000421,Fiji,Longline,13-Oct-2024,12-Oct-2025,Approved,"Good Standing Domestic","Wistar (Fiji) Pte Ltd","Charterer / Operator",,000421,"SUVA PRINCESS WHARF",131.00,Steel,"30.30 Metres",,,"10.00 Knots",11,CUMMINS,,447.00,KW,60.00,"Metric Tonnes","Air Coils",R22,"250.00 Kg",,,,,"OCEAN Harvest (FIJI) PTE LTD","33 Freeston Rd, Walu Bay, Suva, Fiji.","Ocean Harvest (Fiji) Pte Ltd","33 Freeston Road
Walu Bay
SUVA
Fiji","Lee Xing Tai",China,"Lee Xing Tai",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/WINSTAR%201%20TOP%20VIEW%20PHOTO.jpg
"SOLANDER II",Japan,1973,8975500,5048,33125,3DYJ,520113000,000424,Fiji,Longline,03-Oct-2024,02-Oct-2025,Approved,"Good Standing Domestic","SOLANDER (PACIFIC) LTD",Owner,,000424,"SUVA PRINCESS WHARF",79.77,,"34.32 Metres","28.10 Metres","30.23 Metres","8.00 Knots",9,"ICTA 19 DIESEL","72.90 Kilolitres",372.00,KW,69.00,"Cubic Metres","Air Coils",R22,"726.40 Kg",,,62272,"New Zealand","Solander (Pacific) Ltd","P O Box 178, Suva","Solander (Pacific) Ltd","P O Box 178
SUVA
Fiji","Sunia Talemaitoga",Fiji,"Sunia Talemaitoga",Fiji,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Sol%202%20aerial%20view.jpg
"SOLOMON FISHER",Japan,1987,8894720,,33760,H4SX,8894720,128448,"Solomon Islands","Pole and Line",25-Sep-2024,24-Sep-2025,Approved,"Good Standing Domestic","National Fisheries Developments Limited","Charterer / Operator",,128448,HONIARA,100.00,Fibreglass,"27.50 Metres",,"27.50 Metres","12.00 Knots",30,"DAIHATSU 6DLM-24SL","38.00 Kilolitres",640.00,HP,50.00,"Metric Tonnes","Ice, Refrigerated Sea Water, Brine",R22,"110.00 Kg",,,,,"National Fisheries Developments Limited","National Fisheries Developments Limited
P.O.BOX 717 
Honiara,
 Solomon Islands","National Fisheries Development Limited","P.O.BOX 717 
Honiara,
 Solomon Islands","James Piro","Solomon Islands","James Piro","Solomon Islands",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Fisher%20Top_0.jpg
"SOLOMON OPAL",Mexico,2001,9212319,10041,35957,H4AL,969212319,970,"Solomon Islands","Single Purse Seiner",19-Sep-2024,18-Sep-2025,Approved,"Good Standing Domestic","National Fisheries Developments Limited","Charterer / Operator",,970,HONIARA,718.91,,"46.00 Metres","38.20 Metres","46.00 Metres","12.00 Knots",22,CATERPILLAR,"160.00 Kilolitres",1500.00,HP,497.80,"Cubic Metres",Brine,AMMONIA,"1200.00 Kg",,,,,"National Fisheries Developments Limited","P.O.BOX 717
Honiara
Solomon Islands","National Fisheries Developments Limited","P.O.BOX 717
Honiara
Solomon Islands","Mathew Nani","Solomon Islands","Petaia (Jnr) Delaiverata","Solomon Islands",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Opal%20Plan%20View_0.JPG
"SOLOMON JADE",Mexico,2001,9211183,10038,35918,H4AB,455702311,968,"Solomon Islands","Single Purse Seiner",16-Sep-2024,15-Sep-2025,Approved,"Good Standing Domestic","National Fisheries Developments Limited","Charterer / Operator",,968,HONIARA,718.91,Steel,"46.00 Metres","38.20 Metres","46.00 Metres","12.00 Knots",23,"3512 DITA","160.00 Kilolitres",1500.00,HP,497.80,"Cubic Metres",Brine,AMMONIA,"1200.00 Kg",,,,,"National Fisheries Developments Limited","P.O.Box 717
Honiara
Solomon Islands","National Fisheries Developments Limited","P.O.Box 717
Honiara
Solomon Islands","Basil Lihipawa","Solomon Islands","Alex Jesus","United States",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Jade%20Plan%20View.JPG
"SOLOMON EMERALD",Mexico,2001,9212292,4535,35620,H4NF,455794200,942,"Solomon Islands","Single Purse Seiner",16-Sep-2024,15-Sep-2025,Approved,"Good Standing Domestic","National Fisheries Developments Limited","Authorised Agent",,942,HONIARA,718.91,,"46.00 Metres","38.20 Metres","46.00 Metres","12.00 Knots",23,"CAT 3512B","160.00 Kilolitres",1280.00,HP,497.80,"Cubic Metres",Brine,AMMONIA,"1200.00 Kg",,,,,"National Fisheries Developments Ltd","P.O.Box 717
Honiara
Solomon Islands","National Fisheries Developments Limited","P.O.Box 717
Honiara
Solomon Islands","David Maenene","Solomon Islands","Renaldo Soler",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Emerald%20Plan%20View.JPG
"SOLOMON RUBY",Mexico,2001,9212307,10040,35917,H4AM,455702312,969,"Solomon Islands","Single Purse Seiner",16-Sep-2024,15-Sep-2025,Approved,"Good Standing Domestic","National Fisheries Developments Limited","Charterer / Operator",,969,HONIARA,718.91,,"46.00 Metres","38.20 Metres","46.00 Metres","12.00 Knots",23,"CAT 3512 B","160.00 Kilolitres",1280.00,HP,497.80,"Cubic Metres",Brine,AMMONIA,"1200.00 Kg",,,,,"National Fisheries Development Ltd","P.O.Box 717
Honiara
Solomon Islands","National Fisheries Development Ltd","P.O.Box 717
Honiara
Solomon Islands","Reuben Longadeni","Solomon Islands","Clint Wichman",Australia,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Ruby%20Plan%20View.JPG
"SOLOMON PEARL",Mexico,2001,9211171,4536,35611,H4NK,455794100,941,"Solomon Islands","Single Purse Seiner",15-Sep-2024,14-Sep-2025,Approved,"Good Standing Domestic","National Fisheries Developments Limited","Charterer / Operator",,941,HONIARA,718.00,Steel,"46.00 Metres","38.20 Metres","46.00 Metres","12.00 Knots",23,CATEPILLER,"160.00 Kilolitres",1500.00,KW,497.80,"Cubic Metres",Brine,AMONIA,"1500.00 Kg",,,,,"National Fisheries Development Ltd","P.O.Box 717
Honiara
Solomon Islands","National Fisheries Developments Limited","P.O.Box 717
Honiara
Solomon Islands","Ben Analau","Solomon Islands","Gabriel Santana",Portugal,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Pearl%20Plan%20View_0.JPG
"SEIN 5",Fiji,1992,,4905,33956,3DN6264,520091000,000020,Fiji,Longline,10-Sep-2024,09-Sep-2025,Approved,"Good Standing Domestic","Ace Tuna Fishery Co.,Ltd","Charterer / Operator",,000020,"SUVA MUA-I-WALU WHARF",41.00,Steel,"17.80 Metres",,"17.80 Metres","9.00 Knots",8,CATEPILLAR,"5.00 Kilolitres",187.00,KW,18.00,"Cubic Metres",Ice,"R600a (Isobutane)","270.00 Kg","Rabi 1",3DN6264,000020,Fiji,"Sein Fishing Investment PTE LTD","P O Box 18059
SUVA
Fiji","Ace Tuna Fishry Co. Pte Ltd","P O Box 18059
SUVA
Fiji","Hyeong Woo Lee","Korea, Republic of","Hyeong Woo Lee","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/viber_image_2024-08-09_15-23-05-818.jpg
"WINFULL 38",China,2021,9939022,12150,37009,3DWV,520386000,005916,Fiji,"Fishing Vessel",27-Aug-2025,26-Aug-2026,Approved,"Good Standing Foreign","Wistar (Fiji) Pte Ltd","Authorised Agent",,005916,"SUVA MUA-I-WALU WHARF",70.00,Fibreglass,"23.80 Metres",,"23.80 Metres","8.00 Knots",11,"CUMMINS NTA855","16.00 Kilolitres",298.00,KW,24.00,"Metric Tonnes",Ice,R507A,"8.60 Kg",,,,,"GONEDAU ENTERPRISES PTE LTD","G.P.O BOX 13596","GONEDAU ENTERPRISES PTE LTD","G.P.O BOX 13596
SUVA
Fiji","Mai Qing Qiang",Fiji,"Mai Qing Qiang",Fiji,,https://vessel-register.ffa.int/sites/default/files/vsr_files/WF38%20%283%29.jpg
"AURORA B",Spain,1998,9156058,5274,34264,EAQT,224651000,ESP000023885,Spain,"Single Purse Seiner",27-Aug-2025,26-Aug-2026,Approved,"Good Standing Foreign",O.P.A.G.A.C.,"Authorised Agent",,ESP000023885,BERMEO,2479.00,Steel,"84.10 Metres","72.09 Metres","72.58 Metres","14.00 Knots",27,MAK-6M552C,"238.00 Kilolitres",4880.00,KW,2079.00,"Cubic Metres",Brine,AMMONIA,"0.50 Kg",,,3BI2597,,"Atunera Dularra, S.L","Parque Científico y Tecnológico de Vizcaya Laidea Bidea. Edif 407 – 2ª plt
48170 | Zamudio","ATUNERA DULARRA, S.L","Parque Científico y Tecnológico de
Vizcaya Laidea Bidea. 
Edif 407 – 2ª plt
48170 | Zamudio","José Miguel García Etxebarria",Spain,"José Miguel García Etxebarria",Spain,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Aurora%20B%20-%20Photos%20%282%29_0.JPG
"ZHOU YUAN YU 202",China,2006,8797386,5942,35805,BZ7UM,413404430,(ZHE)CHUANDENG(JI)(2023)FT-200110HAO,China,Longline,27-Aug-2025,26-Aug-2026,Approved,"Good Standing Foreign","HuaKe Technology Services (Fiji) LIMITED",Owner,,(ZHE)CHUANDENG(JI)(2023)FT-200110HAO,ZHOUSHAN,646.00,Steel,"48.70 Metres",,,"11.00 Knots",26,6M26AFTE,"185.00 Kilolitres",735.00,KW,522.34,"Cubic Metres","Air Coils",R404A,"2000.00 Kg",,,,,"ZHOUSHAN HAIHONG OCEAN FISHERIES CO.,LTD","No.1-3 Shanghui Road, Ganlan Town,
Dinghai District, Zhoushan City,
Zhejiang Province","ZHOUSHAN HAIHONG OCEAN FISHERIES CO.,LTD","No.1-3 Shanghui Road, Ganlan Town,
Dinghai District, Zhoushan City,
Zhejiang Province","YU SHIHAI",China,"YU SHIHAI",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/ZHOUYUANYU%20202%20Recent%20plan-view%20vessel%20photo_1.jpg
MONTEROCIO,Spain,1992,8919453,4656,32078,YSC2002,359002000,ESA00040,"El Salvador","Single Purse Seiner",27-Aug-2025,26-Aug-2026,Approved,"Good Standing Foreign",O.P.A.G.A.C.,"Authorised Agent",,ESA00040,"LA UNION",2118.00,Steel,"78.80 Metres","70.66 Metres","80.22 Metres","14.00 Knots",29,DIESEL,"700.00 Kilolitres",4800.00,HP,1919.00,"Cubic Metres",Brine,R717,"5000.00 Kg",ALEXANDROS,,ESA-000040,"Solomon Islands","OAKCITY TUNA FISHING CORPORATION","calle Lomba Linda 251
Colonia San Benito-San Salvador (El Salvador)","OAKCITY TUNA FISHING CORPORATION","Calle Lomba Linda 251
Colonia San Benito-San 
Salvador (El Salvador)","Antonio Cesar Verrum Traquinas",Portugal,"Antonio Cesar Verrum Traquinas",Portugal,,https://vessel-register.ffa.int/sites/default/files/vsr_files/MrocioIND.%20HELIPUERTO.jpg
"LU RONG YUAN YU 58",China,2012,9691890,10617,36426,BBZN8,412328732,"(LU)CHUANDENG (JI) (2022) FT-200175HAO",China,Longline,27-Aug-2025,26-Aug-2026,Approved,"Good Standing Foreign","Future Electronics Company","Authorised Agent",,"(LU)CHUANDENG (JI) (2022) FT-200175HAO",SHIDAO,276.00,Steel,"37.56 Metres",,,"10.00 Knots",15,XCW6200ZC,"108.00 Kilolitres",698.00,KW,249.34,"Cubic Metres","Air Coils",R22,"260.00 Kg",,,,,"Shandong Lidao Oceanic Technology Company Limited","Lidao Village, Lidao Town, Rongcheng City","Shandong Lidao Oceanic Technology Company Limited","Lidao Village, Lidao Town
Rongcheng City
China","WANG FUYU",China,"WANG FUYU",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/LRYY58-TOP%20VIEW-1_0.jpg
"CAPE ELIZABETH III","United States",1990,9018892,10087,25957,WDF8203,303343000,962922,"United States","Single Purse Seiner",26-Aug-2025,25-Aug-2026,Approved,"Good Standing Foreign","NOAA Fisheries - Pacific Islands Regional Office","Authorised Agent",,962922,"PAGO PAGO",1930.00,Steel,"68.80 Metres",,"68.80 Metres","16.00 Knots",25,,"442.89 Kilolitres",4425.00,HP,1581.00,"Cubic Metres",Brine,"R717 (Ammonia), AMMONIA","2727.00 Kg",,,,,"CAPE ELIZABETH FISHING LP","15375 SE 30TH PL STE 260,
 BELLEVUE,
WA 98007-6500,
USA","CAPE ELIZABETH FISHING LP","15375 SE 30TH PL STE 260
BELLEVUE, WA 98007-6500
USA","MILISIC, GOJKO","United States","MILISIC, GOJKO","United States",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Cape%20Elizabeth%20aerial.jpg
"SUNSHINE NO. 8",China,2008,8749937,9026,35704,3DZJ,520204000,000660,Fiji,Longline,26-Aug-2025,25-Aug-2026,Approved,"Good Standing Foreign","Sunshine Fisheries Pte Ltd",Owner,,000660,"SUVA MUA-I-WALU WHARF",193.00,Steel,"36.60 Metres","31.50 Metres","36.60 Metres","10.50 Knots",13,"WEICHAI 6170","80.00 Kilolitres",382.00,KW,70.00,"Metric Tonnes","Air Coils",R22,"181.00 Kg","HONG YANG NO, 1",3DZJ,000660,Fiji,"Sunshine Fisheries Pte. Ltd.","P. O. BOX 16386, SUVA, FIJI","SUNSHINE FISHERIES PTE LTD","P. O. BOX 16386
SUVA
FIJI","Huang Yesheng",China,"Huang Yesheng",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Sunshine%208-2_0.jpg
"XIN SHI JI NO.17",China,2001,8651269,131,36114,BZUT4,412679210,"(ZHE)CHUAN DENG (JI)(2021) FT-200111",China,Longline,25-Aug-2025,24-Aug-2026,Approved,"Good Standing Foreign","HuaKe Technology Services (Fiji) LIMITED",Owner,,"(ZHE)CHUAN DENG (JI)(2021) FT-200111",ZHOUSHAN,497.00,Steel,"48.60 Metres",,"48.60 Metres","11.00 Knots",25,6M28AFTE,"497.00 Kilolitres",1200.00,HP,250.00,"Metric Tonnes","Air Coils",R22,"2500.00 Kg",,,,,"ZHE JIANG NEW TIMES INTERNATIONAL FISHERIES CO.,LTD","Station 10,Room502,No.1-5,Shanghui Road,Galan,Dinghai District,Zhoushan,Zhejiang","ZHEJIANG NEW TIMES INTERNATIONAL FISHERIES CO.,LTD","Station 10, Room 502, No.1-5
Shanghui Road, Galan
Dinghai District, Zhoushan
Zhejiang, China","JIN JIAN PIN",China,"JIN JIAN PIN",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/XINSHIJI%20NO.17%20Recent%20plan-view%20vessel%20photo.jpg
